,sentence,process,catalyst
10,"1 wt. % Cu/TiO2 photocatalysts were obtained by heating the 1.25 wt. % CuO/TiO2 photocatalyst under a H2/N2 flow ( 10 vol. % H2 , 100 mL min−1 ) at 200−500 celcius for 2 h. This treatment reduced the adsorbed CuO species to metallic form as evidenced by a change in colour of the powders from light blue-green to a very dark blue .",celcius,CuO
11,"1 wt. % Cu/TiO2 photocatalysts were obtained by heating the 1.25 wt. % CuO/TiO2 photocatalyst under a H2/N2 flow ( 10 vol. % H2 , 100 mL min−1 ) at 200−500 celcius for 2 h. This treatment reduced the adsorbed CuO species to metallic form as evidenced by a change in colour of the powders from light blue-green to a very dark blue .",celcius,Cu
12,Potassium was incorporated into the catalyst by physical mixing of the amorphous molybdenum sulfide precursor with K2CO3 ( Sigma-Aldrich ) in a mortar with a pestle followed by treatment at 500 celcius in hydrogen atmosphere for 3 h with a heating rate of 5 °C/min .,atm,Potassium
13,Potassium was incorporated into the catalyst by physical mixing of the amorphous molybdenum sulfide precursor with K2CO3 ( Sigma-Aldrich ) in a mortar with a pestle followed by treatment at 500 celcius in hydrogen atmosphere for 3 h with a heating rate of 5 °C/min .,atm,K2CO3
14,Potassium was incorporated into the catalyst by physical mixing of the amorphous molybdenum sulfide precursor with K2CO3 ( Sigma-Aldrich ) in a mortar with a pestle followed by treatment at 500 celcius in hydrogen atmosphere for 3 h with a heating rate of 5 °C/min .,celcius,Potassium
15,Potassium was incorporated into the catalyst by physical mixing of the amorphous molybdenum sulfide precursor with K2CO3 ( Sigma-Aldrich ) in a mortar with a pestle followed by treatment at 500 celcius in hydrogen atmosphere for 3 h with a heating rate of 5 °C/min .,celcius,K2CO3
16,"Prior to every reaction , all Cu-based catalysts were reduced at 300 celcius for 2 h. The reaction solution of FAL of desired concentration was freshly prepared in HPLC grade water , and catalytic hydrogenation of this solution was performed with continuous stirring at 700 RPM .",concentration,Cu
17,"Prior to every reaction , all Cu-based catalysts were reduced at 300 celcius for 2 h. The reaction solution of FAL of desired concentration was freshly prepared in HPLC grade water , and catalytic hydrogenation of this solution was performed with continuous stirring at 700 RPM .",celcius,Cu
18,"profile curve fitting ( software = CasaXPS 2.3.17 ) serves to quantify the amount of hydrogen consumed during each transition step ( α = Cu2+ → Cu+ , β = Cu+ → Cu0 , γ = Ce4+→ Ce3+ and δ = 2Cl*→ 2HCl ; Cl* indicates adsorbed chlorine on the catalyst surface ) and extract the concentration of copper species ( denoted Cu TPR 2 + , Cu TPR + and Cu TPR 0 ) , Ce3+ ( Ce TPR 3 + ) and adsorbed chlorine ( Cl TPR ∗ ) .",concentration,copper
19,"profile curve fitting ( software = CasaXPS 2.3.17 ) serves to quantify the amount of hydrogen consumed during each transition step ( α = Cu2+ → Cu+ , β = Cu+ → Cu0 , γ = Ce4+→ Ce3+ and δ = 2Cl*→ 2HCl ; Cl* indicates adsorbed chlorine on the catalyst surface ) and extract the concentration of copper species ( denoted Cu TPR 2 + , Cu TPR + and Cu TPR 0 ) , Ce3+ ( Ce TPR 3 + ) and adsorbed chlorine ( Cl TPR ∗ ) .",concentration,chlorine
20,"profile curve fitting ( software = CasaXPS 2.3.17 ) serves to quantify the amount of hydrogen consumed during each transition step ( α = Cu2+ → Cu+ , β = Cu+ → Cu0 , γ = Ce4+→ Ce3+ and δ = 2Cl*→ 2HCl ; Cl* indicates adsorbed chlorine on the catalyst surface ) and extract the concentration of copper species ( denoted Cu TPR 2 + , Cu TPR + and Cu TPR 0 ) , Ce3+ ( Ce TPR 3 + ) and adsorbed chlorine ( Cl TPR ∗ ) .",concentration,Cl
21,"profile curve fitting ( software = CasaXPS 2.3.17 ) serves to quantify the amount of hydrogen consumed during each transition step ( α = Cu2+ → Cu+ , β = Cu+ → Cu0 , γ = Ce4+→ Ce3+ and δ = 2Cl*→ 2HCl ; Cl* indicates adsorbed chlorine on the catalyst surface ) and extract the concentration of copper species ( denoted Cu TPR 2 + , Cu TPR + and Cu TPR 0 ) , Ce3+ ( Ce TPR 3 + ) and adsorbed chlorine ( Cl TPR ∗ ) .",concentration,Cu
22,"profile curve fitting ( software = CasaXPS 2.3.17 ) serves to quantify the amount of hydrogen consumed during each transition step ( α = Cu2+ → Cu+ , β = Cu+ → Cu0 , γ = Ce4+→ Ce3+ and δ = 2Cl*→ 2HCl ; Cl* indicates adsorbed chlorine on the catalyst surface ) and extract the concentration of copper species ( denoted Cu TPR 2 + , Cu TPR + and Cu TPR 0 ) , Ce3+ ( Ce TPR 3 + ) and adsorbed chlorine ( Cl TPR ∗ ) .",concentration,Cu
23,"profile curve fitting ( software = CasaXPS 2.3.17 ) serves to quantify the amount of hydrogen consumed during each transition step ( α = Cu2+ → Cu+ , β = Cu+ → Cu0 , γ = Ce4+→ Ce3+ and δ = 2Cl*→ 2HCl ; Cl* indicates adsorbed chlorine on the catalyst surface ) and extract the concentration of copper species ( denoted Cu TPR 2 + , Cu TPR + and Cu TPR 0 ) , Ce3+ ( Ce TPR 3 + ) and adsorbed chlorine ( Cl TPR ∗ ) .",concentration,Cu0
24,"profile curve fitting ( software = CasaXPS 2.3.17 ) serves to quantify the amount of hydrogen consumed during each transition step ( α = Cu2+ → Cu+ , β = Cu+ → Cu0 , γ = Ce4+→ Ce3+ and δ = 2Cl*→ 2HCl ; Cl* indicates adsorbed chlorine on the catalyst surface ) and extract the concentration of copper species ( denoted Cu TPR 2 + , Cu TPR + and Cu TPR 0 ) , Ce3+ ( Ce TPR 3 + ) and adsorbed chlorine ( Cl TPR ∗ ) .",concentration,chlorine
25,The reaction temperature in the catalyst bed was monitored ( continuously ) with a thermocouple and kept constant ( ±1 kelvin ) by mixing the Cu/CeO2 catalyst ( 1–50 mg ) with ( 75 µm ) ground glass .,temperature,Cu
26,The reaction temperature in the catalyst bed was monitored ( continuously ) with a thermocouple and kept constant ( ±1 kelvin ) by mixing the Cu/CeO2 catalyst ( 1–50 mg ) with ( 75 µm ) ground glass .,temperature,CeO2
27,The reaction temperature in the catalyst bed was monitored ( continuously ) with a thermocouple and kept constant ( ±1 kelvin ) by mixing the Cu/CeO2 catalyst ( 1–50 mg ) with ( 75 µm ) ground glass .,kelvin,Cu
28,The reaction temperature in the catalyst bed was monitored ( continuously ) with a thermocouple and kept constant ( ±1 kelvin ) by mixing the Cu/CeO2 catalyst ( 1–50 mg ) with ( 75 µm ) ground glass .,kelvin,CeO2
29,"To prepare the 0.5 wt. % Au/xTiO2 ( t ) and Au/P25 TiO2 photocatalysts , the titania support ( 2 gram ) , Au3+ stock solution ( 12.5 mL ) , urea ( 5.04 gram ) and milli-Q water ( 187.5 mL ) were added to a 500 ml glass Schott bottle , then heated with constant stirring at 80 celcius for 8 h. The obtained pale yellow powders were collected by centrifugation , washed repeatedly with milli-Q , then air dried at 60 celcius overnight .",gram,Au
30,"To prepare the 0.5 wt. % Au/xTiO2 ( t ) and Au/P25 TiO2 photocatalysts , the titania support ( 2 gram ) , Au3+ stock solution ( 12.5 mL ) , urea ( 5.04 gram ) and milli-Q water ( 187.5 mL ) were added to a 500 ml glass Schott bottle , then heated with constant stirring at 80 celcius for 8 h. The obtained pale yellow powders were collected by centrifugation , washed repeatedly with milli-Q , then air dried at 60 celcius overnight .",gram,titania
31,"To prepare the 0.5 wt. % Au/xTiO2 ( t ) and Au/P25 TiO2 photocatalysts , the titania support ( 2 gram ) , Au3+ stock solution ( 12.5 mL ) , urea ( 5.04 gram ) and milli-Q water ( 187.5 mL ) were added to a 500 ml glass Schott bottle , then heated with constant stirring at 80 celcius for 8 h. The obtained pale yellow powders were collected by centrifugation , washed repeatedly with milli-Q , then air dried at 60 celcius overnight .",gram,Au
32,"To prepare the 0.5 wt. % Au/xTiO2 ( t ) and Au/P25 TiO2 photocatalysts , the titania support ( 2 gram ) , Au3+ stock solution ( 12.5 mL ) , urea ( 5.04 gram ) and milli-Q water ( 187.5 mL ) were added to a 500 ml glass Schott bottle , then heated with constant stirring at 80 celcius for 8 h. The obtained pale yellow powders were collected by centrifugation , washed repeatedly with milli-Q , then air dried at 60 celcius overnight .",celcius,Au
33,"To prepare the 0.5 wt. % Au/xTiO2 ( t ) and Au/P25 TiO2 photocatalysts , the titania support ( 2 gram ) , Au3+ stock solution ( 12.5 mL ) , urea ( 5.04 gram ) and milli-Q water ( 187.5 mL ) were added to a 500 ml glass Schott bottle , then heated with constant stirring at 80 celcius for 8 h. The obtained pale yellow powders were collected by centrifugation , washed repeatedly with milli-Q , then air dried at 60 celcius overnight .",celcius,titania
34,"To prepare the 0.5 wt. % Au/xTiO2 ( t ) and Au/P25 TiO2 photocatalysts , the titania support ( 2 gram ) , Au3+ stock solution ( 12.5 mL ) , urea ( 5.04 gram ) and milli-Q water ( 187.5 mL ) were added to a 500 ml glass Schott bottle , then heated with constant stirring at 80 celcius for 8 h. The obtained pale yellow powders were collected by centrifugation , washed repeatedly with milli-Q , then air dried at 60 celcius overnight .",celcius,Au
35,"For the preparation of the 0.5 wt. % Pd/xTiO2 ( t ) and Pd/P25 TiO2 photocatalysts , Pd2+ stock solution ( 16.78 mL ) , urea ( 5.04 gram ) and titania support ( 2 gram ) and milli-Q ( 183.22 mL ) were added to a Schott bottle , then heated with constant stirring at 80 celcius for 8 h. The resulting powders were collected by centrifugation , washed repeatedly with milli-Q and dried at 60 celcius .",gram,titania
36,"For the preparation of the 0.5 wt. % Pd/xTiO2 ( t ) and Pd/P25 TiO2 photocatalysts , Pd2+ stock solution ( 16.78 mL ) , urea ( 5.04 gram ) and titania support ( 2 gram ) and milli-Q ( 183.22 mL ) were added to a Schott bottle , then heated with constant stirring at 80 celcius for 8 h. The resulting powders were collected by centrifugation , washed repeatedly with milli-Q and dried at 60 celcius .",gram,Pd
37,"For the preparation of the 0.5 wt. % Pd/xTiO2 ( t ) and Pd/P25 TiO2 photocatalysts , Pd2+ stock solution ( 16.78 mL ) , urea ( 5.04 gram ) and titania support ( 2 gram ) and milli-Q ( 183.22 mL ) were added to a Schott bottle , then heated with constant stirring at 80 celcius for 8 h. The resulting powders were collected by centrifugation , washed repeatedly with milli-Q and dried at 60 celcius .",gram,Pd
38,"For the preparation of the 0.5 wt. % Pd/xTiO2 ( t ) and Pd/P25 TiO2 photocatalysts , Pd2+ stock solution ( 16.78 mL ) , urea ( 5.04 gram ) and titania support ( 2 gram ) and milli-Q ( 183.22 mL ) were added to a Schott bottle , then heated with constant stirring at 80 celcius for 8 h. The resulting powders were collected by centrifugation , washed repeatedly with milli-Q and dried at 60 celcius .",celcius,titania
39,"For the preparation of the 0.5 wt. % Pd/xTiO2 ( t ) and Pd/P25 TiO2 photocatalysts , Pd2+ stock solution ( 16.78 mL ) , urea ( 5.04 gram ) and titania support ( 2 gram ) and milli-Q ( 183.22 mL ) were added to a Schott bottle , then heated with constant stirring at 80 celcius for 8 h. The resulting powders were collected by centrifugation , washed repeatedly with milli-Q and dried at 60 celcius .",celcius,Pd
40,"For the preparation of the 0.5 wt. % Pd/xTiO2 ( t ) and Pd/P25 TiO2 photocatalysts , Pd2+ stock solution ( 16.78 mL ) , urea ( 5.04 gram ) and titania support ( 2 gram ) and milli-Q ( 183.22 mL ) were added to a Schott bottle , then heated with constant stirring at 80 celcius for 8 h. The resulting powders were collected by centrifugation , washed repeatedly with milli-Q and dried at 60 celcius .",celcius,Pd
41,"A similar procedure was used for the preparation of the bimetallic Pd-Au/xTiO2 ( t ) and Pd-Au/P25 TiO2 photocatalysts , using appropriate amounts of the Pd ( II ) and Au ( III ) stock solutions to achieve the desired nominal Pd and Au weight loadings ( both 0.25 wt. % , total metal loading 0.5 wt. % ) .",weight,Pd
42,"A similar procedure was used for the preparation of the bimetallic Pd-Au/xTiO2 ( t ) and Pd-Au/P25 TiO2 photocatalysts , using appropriate amounts of the Pd ( II ) and Au ( III ) stock solutions to achieve the desired nominal Pd and Au weight loadings ( both 0.25 wt. % , total metal loading 0.5 wt. % ) .",weight,Au
43,"A similar procedure was used for the preparation of the bimetallic Pd-Au/xTiO2 ( t ) and Pd-Au/P25 TiO2 photocatalysts , using appropriate amounts of the Pd ( II ) and Au ( III ) stock solutions to achieve the desired nominal Pd and Au weight loadings ( both 0.25 wt. % , total metal loading 0.5 wt. % ) .",weight,Au
44,"A similar procedure was used for the preparation of the bimetallic Pd-Au/xTiO2 ( t ) and Pd-Au/P25 TiO2 photocatalysts , using appropriate amounts of the Pd ( II ) and Au ( III ) stock solutions to achieve the desired nominal Pd and Au weight loadings ( both 0.25 wt. % , total metal loading 0.5 wt. % ) .",weight,Au
45,"A similar procedure was used for the preparation of the bimetallic Pd-Au/xTiO2 ( t ) and Pd-Au/P25 TiO2 photocatalysts , using appropriate amounts of the Pd ( II ) and Au ( III ) stock solutions to achieve the desired nominal Pd and Au weight loadings ( both 0.25 wt. % , total metal loading 0.5 wt. % ) .",weight,Pd
46,"A similar procedure was used for the preparation of the bimetallic Pd-Au/xTiO2 ( t ) and Pd-Au/P25 TiO2 photocatalysts , using appropriate amounts of the Pd ( II ) and Au ( III ) stock solutions to achieve the desired nominal Pd and Au weight loadings ( both 0.25 wt. % , total metal loading 0.5 wt. % ) .",weight,Pd
47,"A similar procedure was used for the preparation of the bimetallic Pd-Au/xTiO2 ( t ) and Pd-Au/P25 TiO2 photocatalysts , using appropriate amounts of the Pd ( II ) and Au ( III ) stock solutions to achieve the desired nominal Pd and Au weight loadings ( both 0.25 wt. % , total metal loading 0.5 wt. % ) .",weight,Au
48,Photoluminescence measurements of radiative electron-hole pair recombination in the TiO2-based photocatalysts were performed in air at room temperature using a Perkin-Elmer LS-55 Luminescence Spectrometer .,temperature,TiO2
49,"The catalyst was first reduced for 5 h by pure H2 at 600 celcius , subsequently cooled to 100 celcius under H2 flow and then swept by Ar for 2 h to eliminate the residual H2 .",celcius,Ar
50,"Before the catalytic tests , the perovskites were transformed into active catalysts by reduction at 600 celcius for 5 h under a pure H2 flow .",celcius,perovskites
51,"Five catalysts were obtained by adjusting Cu/Mg molar ratio at 0.2 : 1 , 0.4 : 1 , 0.8 : 1 , 1.6 : 1 and 3.2 : 1 , which were defined as Cu0.2Mg , Cu0.4Mg , Cu0.8Mg , Cu1.6Mg and Cu3.2Mg , respectively .",molar ratio,Cu
52,"Five catalysts were obtained by adjusting Cu/Mg molar ratio at 0.2 : 1 , 0.4 : 1 , 0.8 : 1 , 1.6 : 1 and 3.2 : 1 , which were defined as Cu0.2Mg , Cu0.4Mg , Cu0.8Mg , Cu1.6Mg and Cu3.2Mg , respectively .",molar ratio,Mg
53,The variation of the molar ratio of Cu and Mg was based on the consideration to change the relative abundance of the hydrogenation sites and the basic sites in the catalysts .,molar ratio,Cu
54,The variation of the molar ratio of Cu and Mg was based on the consideration to change the relative abundance of the hydrogenation sites and the basic sites in the catalysts .,molar ratio,Mg
55,"After the pretreatment , the samples were cooled to 50°C , and then CO2 was introduced for further adsorption for 1 h. Next , helium with a flow rate of 20 mL/min was introduced for 30 min to remove the CO2 that was physically adsorbed on the surface of catalyst .",atm,helium
56,The reduced catalyst is obtained by in situ treating the passivated sample at 300 celcius for 2 h in a 10 vol % H2/Ar flow .,celcius,Ar
57,"For this procedure , 0.1 gram catalyst was pre-heated at 300 celcius for 1 h in a helium flow at a rate of 30 mLmin-1 .",gram,helium
58,"For this procedure , 0.1 gram catalyst was pre-heated at 300 celcius for 1 h in a helium flow at a rate of 30 mLmin-1 .",celcius,helium
59,The phase composition of Cu species in the spinel catalyst during reduction process under hydrogen atmosphere at 300 celcius for 3 h were investigated by in-situ X-ray absorption spectroscopy ( in situ XAS ) at Cu K-edges in Transmission mode .,atm,Cu
60,The phase composition of Cu species in the spinel catalyst during reduction process under hydrogen atmosphere at 300 celcius for 3 h were investigated by in-situ X-ray absorption spectroscopy ( in situ XAS ) at Cu K-edges in Transmission mode .,atm,Cu
61,The phase composition of Cu species in the spinel catalyst during reduction process under hydrogen atmosphere at 300 celcius for 3 h were investigated by in-situ X-ray absorption spectroscopy ( in situ XAS ) at Cu K-edges in Transmission mode .,celcius,Cu
62,The phase composition of Cu species in the spinel catalyst during reduction process under hydrogen atmosphere at 300 celcius for 3 h were investigated by in-situ X-ray absorption spectroscopy ( in situ XAS ) at Cu K-edges in Transmission mode .,celcius,Cu
63,"Typically , in a scale-up experiment , FAL ( 60 mmol ) , 2-PrOH ( 150 mL ) , and catalyst ( 1 gram ) were charged into the autoclave , then sealed and heated to 180 celcius for 1−8 h. Identification of liquid products in the reaction mixture was achieved by the TRACE ISQ GC–MS ( Thermo Scientific Co , TR–WAX–MS column 30.0 molarity × 320 μm × 0.25 μm ) .",molarity,Co
64,"Typically , in a scale-up experiment , FAL ( 60 mmol ) , 2-PrOH ( 150 mL ) , and catalyst ( 1 gram ) were charged into the autoclave , then sealed and heated to 180 celcius for 1−8 h. Identification of liquid products in the reaction mixture was achieved by the TRACE ISQ GC–MS ( Thermo Scientific Co , TR–WAX–MS column 30.0 molarity × 320 μm × 0.25 μm ) .",gram,Co
65,"Typically , in a scale-up experiment , FAL ( 60 mmol ) , 2-PrOH ( 150 mL ) , and catalyst ( 1 gram ) were charged into the autoclave , then sealed and heated to 180 celcius for 1−8 h. Identification of liquid products in the reaction mixture was achieved by the TRACE ISQ GC–MS ( Thermo Scientific Co , TR–WAX–MS column 30.0 molarity × 320 μm × 0.25 μm ) .",celcius,Co
66,"Finally , the magnetic RuCo catalyst was obtained by reduction of the Ru X Co100 composite in H2 flow ( 20 mL min−1 ) typically at 350 celcius ( 5 celcius min−1 ) for 0.5 h ( Scheme 2 ) .",celcius,Ru
67,"Finally , the magnetic RuCo catalyst was obtained by reduction of the Ru X Co100 composite in H2 flow ( 20 mL min−1 ) typically at 350 celcius ( 5 celcius min−1 ) for 0.5 h ( Scheme 2 ) .",celcius,RuCo
68,Additional reactions following a gas phase reduction of the Pt/SnO2 catalyst under a flow of H2 at 200 celcius and 400 celcius were performed .,celcius,SnO2
69,Additional reactions following a gas phase reduction of the Pt/SnO2 catalyst under a flow of H2 at 200 celcius and 400 celcius were performed .,celcius,Pt
70,"After that the samples were filtered , washed with distilled water ( until pH = 7 ) , and dried at 100 celcius for 4 h. Finally they were activated by reduction in H2 at 300 celcius for 2 h. The content of the metal phase ( Rh , Sn , B ) of the catalysts was determined by this technique after digestion in an acid solution .",celcius,Sn
71,"The procedure for investigating the hydrogenation of the hydrolysate containing xylose or furfural obtained by the hydrothermal treatment of the napier grass was as follows : the aqueous phase solution after the treatment ( 5.0mL , 3.0wt % phosphorous acid at 160°C for 15min or 3.0wt % phosphoric acid at 180°C for 30min ) and 5.0wt % Pd/C catalyst ( 0.03–1.40g ) were placed into the autoclave .",atm,Pd
72,"Nitrogen physisorption was conducted in an Thermo Fisher Ultra Surfer after degassing the calcined catalyst samples at 200 celcius for 3 h in vacuum , and the samples of spent catalysts at 120 celcius for 5 h. X-ray diffraction ( XRD ) was conducted to identify crystalline phases and to determine the crystallite sizes of nickel species .",celcius,nickel
73,"M/TiO2 photocatalyst precursors before final H2 reduction and calcination treatments , respectively ) ; Pd/TiO2 obtained by reduction of PdO/TiO2 at 500°C in a H2/N2 flow ; Au/TiO2 obtained by calcination of Au ( OH ) 3/TiO2 at 350°C ; and associated reference materials .",atm,TiO2
74,"M/TiO2 photocatalyst precursors before final H2 reduction and calcination treatments , respectively ) ; Pd/TiO2 obtained by reduction of PdO/TiO2 at 500°C in a H2/N2 flow ; Au/TiO2 obtained by calcination of Au ( OH ) 3/TiO2 at 350°C ; and associated reference materials .",atm,TiO2
75,"M/TiO2 photocatalyst precursors before final H2 reduction and calcination treatments , respectively ) ; Pd/TiO2 obtained by reduction of PdO/TiO2 at 500°C in a H2/N2 flow ; Au/TiO2 obtained by calcination of Au ( OH ) 3/TiO2 at 350°C ; and associated reference materials .",atm,PdO
76,"M/TiO2 photocatalyst precursors before final H2 reduction and calcination treatments , respectively ) ; Pd/TiO2 obtained by reduction of PdO/TiO2 at 500°C in a H2/N2 flow ; Au/TiO2 obtained by calcination of Au ( OH ) 3/TiO2 at 350°C ; and associated reference materials .",atm,Au
77,"M/TiO2 photocatalyst precursors before final H2 reduction and calcination treatments , respectively ) ; Pd/TiO2 obtained by reduction of PdO/TiO2 at 500°C in a H2/N2 flow ; Au/TiO2 obtained by calcination of Au ( OH ) 3/TiO2 at 350°C ; and associated reference materials .",atm,Au
78,"M/TiO2 photocatalyst precursors before final H2 reduction and calcination treatments , respectively ) ; Pd/TiO2 obtained by reduction of PdO/TiO2 at 500°C in a H2/N2 flow ; Au/TiO2 obtained by calcination of Au ( OH ) 3/TiO2 at 350°C ; and associated reference materials .",atm,TiO2
79,"M/TiO2 photocatalyst precursors before final H2 reduction and calcination treatments , respectively ) ; Pd/TiO2 obtained by reduction of PdO/TiO2 at 500°C in a H2/N2 flow ; Au/TiO2 obtained by calcination of Au ( OH ) 3/TiO2 at 350°C ; and associated reference materials .",atm,TiO2
80,"M/TiO2 photocatalyst precursors before final H2 reduction and calcination treatments , respectively ) ; Pd/TiO2 obtained by reduction of PdO/TiO2 at 500°C in a H2/N2 flow ; Au/TiO2 obtained by calcination of Au ( OH ) 3/TiO2 at 350°C ; and associated reference materials .",atm,TiO2
81,"M/TiO2 photocatalyst precursors before final H2 reduction and calcination treatments , respectively ) ; Pd/TiO2 obtained by reduction of PdO/TiO2 at 500°C in a H2/N2 flow ; Au/TiO2 obtained by calcination of Au ( OH ) 3/TiO2 at 350°C ; and associated reference materials .",atm,Pd
82,"2.3.6 NH3-temperature-programmed desorption ( NH3-TPD ) analysis The acidic properties of the catalysts were analyzed by temperature-programmed desorption of ammonia ( NH3-TPD ) in an Autochem 2920 II instrument from Micromeritics system with a thermal conductivity detector ( TCD ) to measure the NH3 desorption and an on-line mass spectrometer ( Pfeiffer Vacuum , model ThermoStar™ GSD 301 T ) to detect various species ( ions of m/z = 17 , 18 , 28 , 30 , 32 and 44 for NH3 , H2O , N2 , NO , O2 and N2O , respectively ) the effluent stream during the NH3-TPD experiment .",temperature,N2O
83,"2.3.6 NH3-temperature-programmed desorption ( NH3-TPD ) analysis The acidic properties of the catalysts were analyzed by temperature-programmed desorption of ammonia ( NH3-TPD ) in an Autochem 2920 II instrument from Micromeritics system with a thermal conductivity detector ( TCD ) to measure the NH3 desorption and an on-line mass spectrometer ( Pfeiffer Vacuum , model ThermoStar™ GSD 301 T ) to detect various species ( ions of m/z = 17 , 18 , 28 , 30 , 32 and 44 for NH3 , H2O , N2 , NO , O2 and N2O , respectively ) the effluent stream during the NH3-TPD experiment .",temperature,NO
84,"2.3.6 NH3-temperature-programmed desorption ( NH3-TPD ) analysis The acidic properties of the catalysts were analyzed by temperature-programmed desorption of ammonia ( NH3-TPD ) in an Autochem 2920 II instrument from Micromeritics system with a thermal conductivity detector ( TCD ) to measure the NH3 desorption and an on-line mass spectrometer ( Pfeiffer Vacuum , model ThermoStar™ GSD 301 T ) to detect various species ( ions of m/z = 17 , 18 , 28 , 30 , 32 and 44 for NH3 , H2O , N2 , NO , O2 and N2O , respectively ) the effluent stream during the NH3-TPD experiment .",gram,N2O
85,"2.3.6 NH3-temperature-programmed desorption ( NH3-TPD ) analysis The acidic properties of the catalysts were analyzed by temperature-programmed desorption of ammonia ( NH3-TPD ) in an Autochem 2920 II instrument from Micromeritics system with a thermal conductivity detector ( TCD ) to measure the NH3 desorption and an on-line mass spectrometer ( Pfeiffer Vacuum , model ThermoStar™ GSD 301 T ) to detect various species ( ions of m/z = 17 , 18 , 28 , 30 , 32 and 44 for NH3 , H2O , N2 , NO , O2 and N2O , respectively ) the effluent stream during the NH3-TPD experiment .",gram,NO
86,"2.2.2 Preparation of supported Pt-based catalysts In a typical synthesis of the supported Pt catalyst , Pt ( acac ) 2 ( 100 mg , 0.25 mmol ) , 40 mL of benzyl alcohol and 800 mg of dry support were mixed together at room temperature and then stirred for 10 min .",temperature,Pt
87,"2.2.2 Preparation of supported Pt-based catalysts In a typical synthesis of the supported Pt catalyst , Pt ( acac ) 2 ( 100 mg , 0.25 mmol ) , 40 mL of benzyl alcohol and 800 mg of dry support were mixed together at room temperature and then stirred for 10 min .",temperature,Pt
