,sentence,process_name
35,"(1)–(6): (1) CO 2 conversion (\%) = n products × 100 n products + n CO 2 ,out (2) n products = n CO,out + ∑ n C i × i (3) Selectivity of CO (\%) = n CO,out × 100 n products (4) Selectivity C i (\%) = n C i × i × 100 n products (5) STY C i (g kg cat - 1 h - 1 ) = F CO 2 ,in x CO 2 conversion x selectivity C i x MW C i M cat (6) C 2 + OH/ROH = ∑ i = 2 4 m C i × 100 ∑ i = 1 4 m C i where n is the moles of total products, CO2 and CO at outlet of the reactor, and product Ci (hydrocarbon or alcohol) containing i carbon atoms, FCO2,in is molar flow rate of CO2 (expressed in mol h−1), MWCi is molecular weight of alcohols containing i carbon atoms, Mcat is the mass of the catalyst and mCi is the weight of a certain alcohol in the products.",weight
36,"(1)–(6): (1) CO 2 conversion (\%) = n products × 100 n products + n CO 2 ,out (2) n products = n CO,out + ∑ n C i × i (3) Selectivity of CO (\%) = n CO,out × 100 n products (4) Selectivity C i (\%) = n C i × i × 100 n products (5) STY C i (g kg cat - 1 h - 1 ) = F CO 2 ,in x CO 2 conversion x selectivity C i x MW C i M cat (6) C 2 + OH/ROH = ∑ i = 2 4 m C i × 100 ∑ i = 1 4 m C i where n is the moles of total products, CO2 and CO at outlet of the reactor, and product Ci (hydrocarbon or alcohol) containing i carbon atoms, FCO2,in is molar flow rate of CO2 (expressed in mol h−1), MWCi is molecular weight of alcohols containing i carbon atoms, Mcat is the mass of the catalyst and mCi is the weight of a certain alcohol in the products.",molarity
37,"(1)–(6): (1) CO 2 conversion (\%) = n products × 100 n products + n CO 2 ,out (2) n products = n CO,out + ∑ n C i × i (3) Selectivity of CO (\%) = n CO,out × 100 n products (4) Selectivity C i (\%) = n C i × i × 100 n products (5) STY C i (g kg cat - 1 h - 1 ) = F CO 2 ,in x CO 2 conversion x selectivity C i x MW C i M cat (6) C 2 + OH/ROH = ∑ i = 2 4 m C i × 100 ∑ i = 1 4 m C i where n is the moles of total products, CO2 and CO at outlet of the reactor, and product Ci (hydrocarbon or alcohol) containing i carbon atoms, FCO2,in is molar flow rate of CO2 (expressed in mol h−1), MWCi is molecular weight of alcohols containing i carbon atoms, Mcat is the mass of the catalyst and mCi is the weight of a certain alcohol in the products.",Molality
38,"(1)–(6): (1) CO 2 conversion (\%) = n products × 100 n products + n CO 2 ,out (2) n products = n CO,out + ∑ n C i × i (3) Selectivity of CO (\%) = n CO,out × 100 n products (4) Selectivity C i (\%) = n C i × i × 100 n products (5) STY C i (g kg cat - 1 h - 1 ) = F CO 2 ,in x CO 2 conversion x selectivity C i x MW C i M cat (6) C 2 + OH/ROH = ∑ i = 2 4 m C i × 100 ∑ i = 1 4 m C i where n is the moles of total products, CO2 and CO at outlet of the reactor, and product Ci (hydrocarbon or alcohol) containing i carbon atoms, FCO2,in is molar flow rate of CO2 (expressed in mol h−1), MWCi is molecular weight of alcohols containing i carbon atoms, Mcat is the mass of the catalyst and mCi is the weight of a certain alcohol in the products.",gram
39,Then the system temperature was increased to 320 °C and maintained during the reaction process.,temperature
40,Then the system temperature was increased to 320 °C and maintained during the reaction process.,celcius
41,"After cooling down to ambient temperature, the gas was switched to 10 % H2/Ar and the sample was heated to 900 °C with a heating rate of 10 °C/min, during which the H2 consumption was monitored by a thermal conductivity detector.",temperature
42,"After cooling down to ambient temperature, the gas was switched to 10 % H2/Ar and the sample was heated to 900 °C with a heating rate of 10 °C/min, during which the H2 consumption was monitored by a thermal conductivity detector.",celcius
43,"Finally, the feed gas was switched to 5 % H2/Ar and the reaction was carried out from 50 °C to 900 °C with a heating rate of 10 °C/min.",celcius
44,"The quantum-chemical composite G3B3  were used for calculations of enthalpies H 298-values, which were finally converted to the Δ f H m o (g) and discussed.",molarity
45,"The quantum-chemical composite G3B3  were used for calculations of enthalpies H 298-values, which were finally converted to the Δ f H m o (g) and discussed.",gram
46,"Consequently, higher-dimensional curve matching will be acquired, hence resulting in multivariable spline BFs in the form of : (5) B m X m : = ∏ j = 1 K m S kj m .",molarity
47,"Consequently, higher-dimensional curve matching will be acquired, hence resulting in multivariable spline BFs in the form of : (5) B m X m : = ∏ j = 1 K m S kj m .",kelvin
48,"In gradient boosting, a sequence of basic CATRs is produced sequentially, with the weight of every particular CART requiring tweaking via the training phase : (7) y ^ i = ∑ k = 1 N f k X i , f k ∈ f W i t h f = f ( X ) = ω q ( x ) , ( q : R m → T , ω ∈ R T ) here m, n, ω, f, fk , and T refer to the dimensions of features and samples, the weight of the leaf, space of regression trees, kth independent tree, and the count of leaves of the tree, respectively.",weight
49,"In gradient boosting, a sequence of basic CATRs is produced sequentially, with the weight of every particular CART requiring tweaking via the training phase : (7) y ^ i = ∑ k = 1 N f k X i , f k ∈ f W i t h f = f ( X ) = ω q ( x ) , ( q : R m → T , ω ∈ R T ) here m, n, ω, f, fk , and T refer to the dimensions of features and samples, the weight of the leaf, space of regression trees, kth independent tree, and the count of leaves of the tree, respectively.",molarity
50,g w L x N + b L .,gram
51,"An EOS is a thermodynamic expression that relates pressure, volume, and temperature (PVT) of a given substance.",temperature
52,"An EOS is a thermodynamic expression that relates pressure, volume, and temperature (PVT) of a given substance.",pressure
53,"An EOS is a thermodynamic expression that relates pressure, volume, and temperature (PVT) of a given substance.",volume
54,"The formulas for these statistical parameters are presented in Appendix A. Graphic tools, which are briefly defined below, are also used to assess the performance of models: Cross plot: A cross plot allows us to see the concentration of data points around the Y = X line, which the higher the concentration of data points around this line, the better the model's performance.",concentration
55,"To investigate the photocatalytic activities of Ni/ZnCdS nanoparticles for hydrogen evolution from benzyl alcohol, 5 mg of ZnCdS and a certain amount of NiCl2·6H2O were added into a 50 mL round-bottom flask contained with 20 mL of absolute benzyl alcohol at the ambient temperature and pressure.",temperature
56,"To investigate the photocatalytic activities of Ni/ZnCdS nanoparticles for hydrogen evolution from benzyl alcohol, 5 mg of ZnCdS and a certain amount of NiCl2·6H2O were added into a 50 mL round-bottom flask contained with 20 mL of absolute benzyl alcohol at the ambient temperature and pressure.",pressure
57,"Then, the supernatant liquid containing benzyl alcohol and its oxidation products were injected into gas chromatography (GC1690, argon as a carrier gas) equipped with a flame ionization detector (FID) using a PEG-20 M 0.25 mm × 0.25 μm × 30 m capillary column.",molarity
58,"Then, the supernatant liquid containing benzyl alcohol and its oxidation products were injected into gas chromatography (GC1690, argon as a carrier gas) equipped with a flame ionization detector (FID) using a PEG-20 M 0.25 mm × 0.25 μm × 30 m capillary column.",Molality
59,"Then, it was increased to 230 °C at a rate of 15 °C min−1.",celcius
60,Potassium was incorporated into the catalyst by physical mixing of the amorphous molybdenum sulfide precursor with K2CO3 (Sigma-Aldrich) in a mortar with a pestle followed by treatment at 500 °C in hydrogen atmosphere for 3 h with a heating rate of 5 °C/min.,celcius
61,"N2-physisorption was used to measure the surface area, the pore volume, the pore diameter, and the pore diameter distribution of the catalyst.",volume
62,The reactor was located in an oven to keep the reaction temperature.,temperature
63,"The reactions were investigated under a gas hourly space velocity (GHSV) of 4500 mL g−1 h−1, a reaction pressure of 8.7 MPa, and at three temperatures of 300, 340 and 380 °C, respectively.",pressure
64,"The reactions were investigated under a gas hourly space velocity (GHSV) of 4500 mL g−1 h−1, a reaction pressure of 8.7 MPa, and at three temperatures of 300, 340 and 380 °C, respectively.",celcius
65,"In short, TiO2 was dispersed in distilled water at 60 °C, stirring rate fixed at 150 rpm and pH set at 6.8 which was maintained throughout the whole process using an aqueous solution of 0.2 M K2CO3 (Merck Art.",Molality
66,"In short, TiO2 was dispersed in distilled water at 60 °C, stirring rate fixed at 150 rpm and pH set at 6.8 which was maintained throughout the whole process using an aqueous solution of 0.2 M K2CO3 (Merck Art.",celcius
67,Catalyst suspension was continuously stirred (800 rpm) and the reactor was thermostated at 10 °C.,celcius
68,"Additionally, liquid phase composition was analyzed by GC-FID (Agilent Technologies 7890 chromatograph using a Supelco 25,357 Nukol capillary column 30 m long, 0.53 mm ID and 1 μm film thickness).",molarity
69,"Adsorption studies of propan-2-ol, propan-1-ol and reaction products on the catalyst were carried out by DRIFT on an ABB Bomen MB 3000 Series IR spectrophotometer equipped with a SpectraTech P/N 0030–100 environmental chamber including a diffuse reflectance device capable of performing 256 scan at 8 cm−1 resolution at an adjustable temperature.",temperature
70,"Reactor was on-line connected to a HP6890 chromatograph equipped with a six-way valve, a HP-PLOTU column (30 m long, 0.53 mm ID, 20 mm film thickness) and a Ni methanator (Agilent Part Number G2747 A) which allowed us to determine propan-2-ol, propan-1-ol, propanal, acetone and the percentage of CO2 resulting from mineralization.",molarity
71,4 g polyethylene oxide-polypropylene oxide-polyethylene oxide (P123) and 38 g 2.0 M HCl were mixed into 114 mL deionized water at 35 °C to produce homogeneous solution.,Molality
72,4 g polyethylene oxide-polypropylene oxide-polyethylene oxide (P123) and 38 g 2.0 M HCl were mixed into 114 mL deionized water at 35 °C to produce homogeneous solution.,gram
73,4 g polyethylene oxide-polypropylene oxide-polyethylene oxide (P123) and 38 g 2.0 M HCl were mixed into 114 mL deionized water at 35 °C to produce homogeneous solution.,celcius
74,"For comparison, Ni2Mg1-B was synthesized without the addition of KIT-6 during the synthesis, and treated with 2 M NaOH by the same procedure as Ni2Mg1, further served as support to prepare K,Mo/Ni2Mg1-B by the same strategy, while K,Mo/Ni2Mg1-K were also prepared by the same process as K,Mo/Ni2Mg1-O except without removing KIT-6 template by alkali etching.",Molality
75,"For comparison, Ni2Mg1-B was synthesized without the addition of KIT-6 during the synthesis, and treated with 2 M NaOH by the same procedure as Ni2Mg1, further served as support to prepare K,Mo/Ni2Mg1-B by the same strategy, while K,Mo/Ni2Mg1-K were also prepared by the same process as K,Mo/Ni2Mg1-O except without removing KIT-6 template by alkali etching.",kelvin
76,"The effect of Na+ was investigated by using Ni2Mg1-B as support without alkali etching to obtain K,Mo/Ni2Mg1-B2 which exhibited the similar HAS performance with K,Mo/Ni2Mg1-B.",kelvin
77,"(3) TOF ( h - 1 ) = F × Y C 2 + O H m catal × Mo edge where F means the feeding rate of CO flow (mol h−1), mcatal represents the mass of the catalyst (g), Y C 2 + O H is HA yield, and Moedge is edge-Mo amount, which can be obtained by the following equation: (4) Mo edge = M o c o n t e n t o f s a m p l e m o l × s u l f i d a t i o n d e g r e e o f M o × f m where sulfidation degree of Mo was calculated by XPS characterization.",molarity
78,"(3) TOF ( h - 1 ) = F × Y C 2 + O H m catal × Mo edge where F means the feeding rate of CO flow (mol h−1), mcatal represents the mass of the catalyst (g), Y C 2 + O H is HA yield, and Moedge is edge-Mo amount, which can be obtained by the following equation: (4) Mo edge = M o c o n t e n t o f s a m p l e m o l × s u l f i d a t i o n d e g r e e o f M o × f m where sulfidation degree of Mo was calculated by XPS characterization.",Molality
79,"(3) TOF ( h - 1 ) = F × Y C 2 + O H m catal × Mo edge where F means the feeding rate of CO flow (mol h−1), mcatal represents the mass of the catalyst (g), Y C 2 + O H is HA yield, and Moedge is edge-Mo amount, which can be obtained by the following equation: (4) Mo edge = M o c o n t e n t o f s a m p l e m o l × s u l f i d a t i o n d e g r e e o f M o × f m where sulfidation degree of Mo was calculated by XPS characterization.",gram
80,"After cooling to 100 °C, the adsorption process in 10%NH3/90%Ar (vol.)",celcius
81,"with flow of 40 mL min−1, and the desorption procedure was operated in Ar atmosphere from 100 to 800 °C with heating rate of 10 °C min−1.",celcius
82,"The collected samples were analyzed on a GC-FID gas chromatograph (HP, 14,009 Arcade, New York, United States) coupled with a FID detector equipped with a Supelco 2−8047-U capillary column (30 m x0.25 mm i.d.",molarity
83,The furfural (F) conversion and the selectivity and the yield of each hydrogenation product (P) in continuous flow experiments were calculated as the following: C o n v e r s i o n F m o l % = C F I n i t i a l - C F F i n a l C F I n i t i a l × 100 Y i e l d P m o l % = C P C F I n i t i a l × 100 S e l e c t i v i t y % = Y i e l d P C o n v e r s i o n F × 100 P r o d u c t i v i t y ( m m o l * g - 1 * h - 1 ) = C F I n i t i a l × F R × Y i e l d P m c a t .,molarity
84,The furfural (F) conversion and the selectivity and the yield of each hydrogenation product (P) in continuous flow experiments were calculated as the following: C o n v e r s i o n F m o l % = C F I n i t i a l - C F F i n a l C F I n i t i a l × 100 Y i e l d P m o l % = C P C F I n i t i a l × 100 S e l e c t i v i t y % = Y i e l d P C o n v e r s i o n F × 100 P r o d u c t i v i t y ( m m o l * g - 1 * h - 1 ) = C F I n i t i a l × F R × Y i e l d P m c a t .,gram
85,"Nitrogen adsorption/desorption experiments at −196 °C were performed for the determination of specific surface area (multi-point BET method), total pore volume (at P/Po = 0.99), micropore area by t-plot analysis and pore size distribution (BJH method using adsorption data or DFT analysis) of the samples which were previously outgassed at 150 °C for 16 h under 5 × 10−9 Torr vacuum, using an Automatic Volumetric Sorption Analyzer (Autosorb-1MP, Quantachrome).",celcius
86,"Nitrogen adsorption/desorption experiments at −196 °C were performed for the determination of specific surface area (multi-point BET method), total pore volume (at P/Po = 0.99), micropore area by t-plot analysis and pore size distribution (BJH method using adsorption data or DFT analysis) of the samples which were previously outgassed at 150 °C for 16 h under 5 × 10−9 Torr vacuum, using an Automatic Volumetric Sorption Analyzer (Autosorb-1MP, Quantachrome).",volume
87,The reduction treatment condition was testified to be adequate to get in-reducible catalyst by H2 temperature programmed reduction (H2-TPR) measurements for hydrogenation applications.,temperature
88,The catalytic measurements for hydrogenation of furfural (FAL) were all performed at 120–150 °C under 1.0–5.0 MPa H2 in a 50 mL Teflon reactor with a stainless-steel autoclave heater equipped with a liquid-sampling device.,celcius
89,The H2O2 concentration was achieved by comparing the absorbance with the calibration curve (Fig.,concentration
90,"The photocurrent and Mott-Schottky plots were measured by the CHI 760D (CH Instruments, Inc., Shanghai) electrochemical workstation at room temperature.",temperature
91,"Solution A was introduced slowly by a peristaltic pump in a container holding 400 ml of distilled water at T =65 °C, and a constant pH = 6.5 was maintained by controlling the flow of solution B.",celcius
92,The textural properties of all samples were evaluated by N2 sorption measurements at −196 °C using Micromeritics ASAP 2020 Surface area and Porosity analyzer.,celcius
93,"Before the analysis, the degasification of the samples was carried out at 240 °C for 6 h. The BET model was fitted to isotherms between relative pressure ranges (P/P0 = 0.05-0.3) to determine the specific surface area of samples.",pressure
94,"Before the analysis, the degasification of the samples was carried out at 240 °C for 6 h. The BET model was fitted to isotherms between relative pressure ranges (P/P0 = 0.05-0.3) to determine the specific surface area of samples.",celcius
95,"All batch experiments were carried out in a 25 ml Parr reactor equipped with a heating system, pressure gauge, and overhead stirrer (Fig.",pressure
96,"Prior to every reaction, all Cu-based catalysts were reduced at 300 °C for 2 h. The reaction solution of FAL of desired concentration was freshly prepared in HPLC grade water, and catalytic hydrogenation of this solution was performed with continuous stirring at 700 RPM.",concentration
97,"Prior to every reaction, all Cu-based catalysts were reduced at 300 °C for 2 h. The reaction solution of FAL of desired concentration was freshly prepared in HPLC grade water, and catalytic hydrogenation of this solution was performed with continuous stirring at 700 RPM.",celcius
98,"The closed vessel was purged three times with nitrogen, and the pressure of H2 gas was maintained.",pressure
99,"After the reaction time over, the reactor was allowed to cool down at room temperature and followed by the sample preparation for product identification.",temperature
100,Conversion of FAL and selectivity of the product was measured using an Agilent GC equipped with an ionization detector (FID) and a DB-Wax capillary column (30 m ×0.530 mm and 1.0 micron).,molarity
101,Reaction products were confirmed using a Thermo scientific (Trace 1310) GC-MS equipped with a DB-5 capillary column (30 m ×0.320 mm and 1.0 micron).,molarity
102,"Conversion of Furfural was measured using the following equation: X F u r f u r a l % = I n i t i a l c o o n c e n t r a t i o n − f i n a l c o n c e n t r a t i o n I n i t i a l c o n c e n t r a t i o n * 100 S P r o d u c t % = X p r o d u c t m o l e s X f u r f u r a l m o l e s i n − X f u r f u r a l m o l e s o u t * 100 Where, XFurfural and SProduct (%) are the conversion of furfural and selectivity of product, respectively.",molarity
103,"The metal content, preparation method and final temperature during hydrogen thermal treatment were selected in order to generate a series of catalysts with different Cu+/Cu0 molar ratio.",temperature
104,"H2-TPR (17 cm3 min−1, 5% v/v H2/N2, 2 K min−1 to 573–773 K) was employed to determine the extent of Cu and CeO2 reduction, and the amount of surface chlorine , i.e.",kelvin
105,"profile curve fitting (software = CasaXPS 2.3.17) serves to quantify the amount of hydrogen consumed during each transition step (α = Cu2+ → Cu+, β = Cu+ → Cu0, γ = Ce4+→ Ce3+ and δ = 2Cl*→ 2HCl; Cl* indicates adsorbed chlorine on the catalyst surface) and extract the concentration of copper species (denoted Cu TPR 2 + , Cu TPR + and Cu TPR 0 ), Ce3+ ( Ce TPR 3 + ) and adsorbed chlorine ( Cl TPR ∗ ).",concentration
106,The reaction temperature in the catalyst bed was monitored (continuously) with a thermocouple and kept constant (±1 K) by mixing the Cu/CeO2 catalyst (1–50 mg) with (75 µm) ground glass.,temperature
107,The reaction temperature in the catalyst bed was monitored (continuously) with a thermocouple and kept constant (±1 K) by mixing the Cu/CeO2 catalyst (1–50 mg) with (75 µm) ground glass.,kelvin
108,"Reactant conversion in the stand-alone reactions was varied by changing the n/F, altering the amount of catalyst while maintaining the total volume of the bed constant (884 mm3).",volume
109,"Qualitative analysis for the presence of HCl was carried out by flowing the gas through a two-necked gas-scrubbing bottle containing an aqueous NaOH solution (2 × 10−3 M, pH = 8.9) kept under constant agitation at 300 rpm with independent pH (Corning 440 pH Bench-meter) analysis.",Molality
110,The product was dried at 150 °C overnight in a vacuum oven for next use.,celcius
111,"The as-prepared UiO-66, and the reused catalyst were characterized by different characterization techniques, including powder X-ray diffraction (XRD; Japan Rigaku, Cu-Kα), Fourier-transformed infrared spectroscopy (FT-IR; TENSOR 37, Germany), scanning electron microscopy (SEM; Gemini Sigma 300), thermogravimetric analysis (TGA; Shimadzu TA-60WS, in N2 at a heating rate of 10 °C min−1 up to 1000 °C), and N2 adsorption-desorption isotherm curve (Micromeritics ASAP 2020, multipoint Brunauer − Emmett − Teller (BET) model and Horvath-Kawazoe (HK) pore size distribution calculation model).",celcius
112,"Subsequently, the sealed autoclave was heated to a given temperature and maintained for a certain time.",temperature
113,"The concentrations of FF and FAL in the reaction mixture were determined with an external standard method by gas chromatograph (Shimadzu, GC-2010 plus) equipped with a hydrogen flame ion (FID) detector and a Rtx-1701 column (30 m ×0.25 mm ×0.25 μm).",molarity
114,"The latter option enables changing the cell’s volume and is used for synthetic method measurements, while measurements by applying the analytical method can be also performed in the view cell with constant volume i.e.",volume
115,The pressure in the view cell is measured by means of a pressure transducer Omegadyne PX1004L1-5KAV that enables the measurements of pressure in the interval (0–34.5) MPa.,pressure
116,"The room temperature, i.e.",temperature
117,"The masses of the cold traps, before and after sampling, are determined using a digital balance Tehtnica Exacta 3600 EB with a standard uncertainty of ± 0.01 g. The temperature and the pressure in the view cell are collected by a data acquisition system and recorded by LabVIEW 2010 service Pack 1 that automatically saves data and enables further processing.",temperature
118,"The masses of the cold traps, before and after sampling, are determined using a digital balance Tehtnica Exacta 3600 EB with a standard uncertainty of ± 0.01 g. The temperature and the pressure in the view cell are collected by a data acquisition system and recorded by LabVIEW 2010 service Pack 1 that automatically saves data and enables further processing.",pressure
119,1 enables phase-equilibrium measurements at wide ranges of pressure and temperature.,temperature
120,1 enables phase-equilibrium measurements at wide ranges of pressure and temperature.,pressure
121,"The sampling effect on the equilibrium state in the cell was investigated on a case study, giving an outline how to reduce disturbance of the equilibrium state by minimizing the pressure drop and associated temperature change.",temperature
122,"The sampling effect on the equilibrium state in the cell was investigated on a case study, giving an outline how to reduce disturbance of the equilibrium state by minimizing the pressure drop and associated temperature change.",pressure
123,"Withdrawing small samples by using capillaries from the cell with large volume can considerably reduce sampling errors, and, on the other side, all sampling steps have to be considered with great care to avoid an impact on the results’ accuracy.",volume
124,"The lengths and the inner diameters of the tubes used to connect the view cell, the cold traps, the gas collector and the pressure transducer, were measured and their volumes were calculated.",pressure
125,This way the volume of the whole collecting system was determined.,volume
126,"At this point, the desired temperature was set on the Julabo Presto LH46 thermostat and soon it was reached in the cell.",temperature
127,The cooling medium was chosen based on the melting temperature of the liquid component and the mixture of ice and NaCl was used in the presented research.,temperature
128,"Since the small amount of the mixture in the view cell was taken out, the pressure in the cell did not change significantly, so the new phase-equilibrium should be reached easily.",pressure
129,"The temperature of the gas component in collecting system was measured and it, together with the pressure, enables the calculation of its molar volume.",temperature
130,"The temperature of the gas component in collecting system was measured and it, together with the pressure, enables the calculation of its molar volume.",pressure
131,"The temperature of the gas component in collecting system was measured and it, together with the pressure, enables the calculation of its molar volume.",volume
132,"Knowing the mass of the collected liquid, it was easy to calculate the volume of the cold trap, occupied by the liquid component.",volume
133,"Since the volume of the part of collecting system filled with the gas component (free volume of cold traps, gas collector and tubing) was determined, it was possible to calculate the amount of the gas component in studied sample.",volume
134,"This way, the molar portion of the gas component in the mixture, that was in the phase-equilibrium at the certain pressure and temperature, was obtained.",temperature
135,"This way, the molar portion of the gas component in the mixture, that was in the phase-equilibrium at the certain pressure and temperature, was obtained.",pressure
136,"Finally, the samples were collected, washed with deionized water and dried in a vacuum oven at 60 °C overnight.",celcius
137,"For each run, the sample was heated up to 600 °C at a rate of 10 °C/min and kept for 0.5 h in a He flow to remove adsorbed impurities.",celcius
138,"After the reaction, the liquid products were collected and analyzed by gas chromatograph (Agilent 7890A) equipped with flame ionization detector (FID) and DB-5HT capillary column (30.0 m × 0.32 μm × 0.25 μm).",molarity
139,The above mixture (molar composition: SiO2: Br: Na2O: Pd: MPTS: H2O = 1 : 0.35 : 0.2 : 0.001 : 0.0085 : 40) was continuously stirred (400 rpm) for 24 h at room temperature.,temperature
140,"After the reaction, toluene was added into the liquid phase as the internal standard and the isolated solution containing the product was quantitatively analyzed by gas chromatography (Agilent 7890B) using flame ionization detector and equipped with a capillary column (HP-5, 30 m × 0.25 mm × 0.25 μm).",molarity
141,The temperature programmed reduction (H2-TPR) was performed to evaluate the reduction temperature of catalyst.,temperature
142,"After that, reaction was carried out at 100 °C and 20 bar of H2 with a stirring speed of 900 rpm using a magnetic stirrer for 2 h. After reaction, the reactor was cooled down to room temperature in an ice bath and then carefully depressurized.",temperature
