,section name,frequency,,7738
325,ITO,7,,
328,NiMo,7,,
330,ZrO2,7,,
331,Titanium,7,,
337,CoO,7,,
340,CuZn,7,,
344,Nickel,6,,
349,Ni0,6,,
355,Raney,6,,
358,HgO,6,,
360,LaB6,6,,
362,Ti3C2,6,,
367,TEOS,6,,
368,KOMS2,6,,
369,Sodium,6,,
370,Potassium,6,,
372,MoSe2,6,,
374,NiL2Cl2,6,,
376,Na2S,6,,
377,Na,6,,
380,NiFe,6,,
386,sulfate,5,,
389,SiO2x,5,,
392,tungsten,5,,
397,NO,5,,
398,PdCeO2,5,,
402,SnO2,5,,
405,RhAc,5,,
408,PdCl2,5,,
410,DMPO,5,,
411,Cu,5,,
414,phosphorus,5,,
419,BaSO4,5,,
424,lanthanum,5,,
428,SnOx,5,,
431,graphene,5,,
432,ZrO2,5,,
434,NiCu,5,,
436,zirconium,5,,
437,NiLaB,5,,
440,indium,5,,
442,AlSBA15,5,,
446,FeCr,4,,
448,ZrKIT5,4,,
449,Xenon,4,,
450,NiANS,4,,
452,Fe3C,4,,
454,N2H4,4,,
455,Fe2O3,4,,
456,H2Ar,4,,
458,Fe3,4,,
459,Xe,4,,
460,cadmium,4,,
462,H2N2,4,,
463,PdCu,4,,
469,Silicaalumina,4,,
473,Ta,4,,
474,Ta2O5V5Fe3TiO2,4,,
475,CuCr,4,,
476,LaNiO3,4,,
481,NiMo2CCNF,4,,
483,RhPt,4,,
484,V2O5,4,,
486,VH2,4,,
488,Pyridine,4,,
490,MnL,4,,
491,NiAl2O3,4,,
492,W,4,,
493,borohydride,4,,
494,HMTA,4,,
495,NiNO32,4,,
496,thiolate,4,,
499,perovskites,4,,
501,CaOH2,4,,
502,tetraethylorthosilicate,4,,
504,molybdate,4,,
507,exchloride,4,,
509,oxalic,4,,
513,zeolites,4,,
514,sulphuric,4,,
524,lactic,4,,
525,CDM,4,,
526,hydrotalcite,4,,
528,phosphorous,4,,
530,hydrofluoric,4,,
531,BiVO4,4,,
532,magnesium,4,,
534,manganese,4,,
535,CuO3ZnO1ZrO2,4,,
536,zinc,4,,
540,cerium,4,,
541,organotin,4,,
542,Cobalt,4,,
548,charcoal,4,,
549,CoZnO,4,,
551,Ag2O,4,,
554,MoO2,3,,
555,TBHP,3,,
557,WO3,3,,
558,Vp,3,,
559,HAuCl4,3,,
560,HAuCl43H2O,3,,
561,mercury,3,,
562,Aeroxide,3,,
564,In2O3,3,,
566,ZIF67,3,,
568,Na2WO42H2O,3,,
569,Mo2N,3,,
576,LaFeO3,3,,
577,Palladium,3,,
578,Co,3,,
581,mercurycadmiumtelluride,3,,
583,NO326H2O,3,,
584,APTES,3,,
586,nickelmolybdenum,3,,
588,MnO2,3,,
590,Alumina,3,,
591,Aluminum,3,,
593,TiO,3,,
594,tannic,3,,
597,IrO2,3,,
599,naphthalene,3,,
600,niobium,3,,
603,AlNO339H2O,3,,
607,carbides,3,,
610,Au,3,,
614,silicalite,3,,
618,SiO23,3,,
619,monometallic,3,,
620,Ptacac2,3,,
622,anthraquinone2carboxylic,3,,
623,MoC,3,,
626,Norit,3,,
628,Co9S8,3,,
634,Ce05Zr05O2,3,,
636,NiAlO,3,,
639,NiAlIMP,3,,
641,CeNO336H2O,3,,
642,triethanolamine,3,,
644,TiO2,3,,
649,CuCr2O4,3,,
652,CuA,3,,
657,Cu0,3,,
659,M/ZrO2,3,,
660,bromide,3,,
661,Cr2O3,3,,
662,Cr2CuO4,3,,
663,Copper,3,,
664,boron,3,,
666,CuOx,3,,
667,CuS,3,,
669,Mo2C,3,,
670,NiAu,3,,
671,MCM48,3,,
675,Ga2O3,3,,
676,RuO2,3,,
677,Ga,3,,
678,acidCu,3,,
679,platinumtin,3,,
684,Pt/SnOx,3,,
686,CeO2,3,,
689,Nb,3,,
693,SnCl2,3,,
694,Ni15YZrO2,3,,
696,Zn2,3,,
697,CaCO3,3,,
698,Ni4SmAlO,3,,
699,15K15Mo,3,,
700,ZnAl2O4,3,,
701,Ni2SmAlO,3,,
703,PTSA,3,,
707,C6,3,,
708,W,3,,
711,PtWOx,2,,
712,sFe,2,,
713,pseudoboehmite,2,,
714,PtFe,2,,
715,strontium,2,,
717,PtSACs,2,,
718,Pt2,2,,
719,rubidium,2,,
720,pyridineIR,2,,
721,pyrochlore,2,,
723,silicate,2,,
726,PyridineDRIFTS,2,,
729,PtACSO3H,2,,
738,PEG,2,,
741,PDMS,2,,
744,Au,2,,
745,Zr3,2,,
752,NixYZrO2,2,,
755,NiSnH,2,,
756,NiS,2,,
757,NiOH2,2,,
759,trimetallic,2,,
762,titaniumsilicalite,2,,
764,sulfatep,2,,
765,sulfonic,2,,
766,sulphate,2,,
767,sulphur,2,,
768,Polyethylene,2,,
770,tellurium,2,,
771,terpene,2,,
773,Pdblack,2,,
774,Pdacac2,2,,
775,tetrabutylammonium,2,,
776,PdII,2,,
780,PdAu,2,,
781,Pd80Zn20,2,,
782,Pd111,2,,
783,Pd0,2,,
786,PbS,2,,
787,PZIFH,2,,
794,hydroquinone,2,,
796,hydrogenoxygen,2,,
801,hexafluorophosphate,2,,
802,hexachloroplatinic,2,,
806,hydroxyapatite,2,,
809,ZnIn2S4,2,,
813,Zirconia,2,,
814,Zeolites,2,,
815,Zeolite,2,,
817,ZrO2,2,,
820,laurylamine,2,,
825,X100,2,,
826,cordierite,2,,
827,decalin,2,,
833,Co,2,,
837,Bi2S3,2,,
849,dodecanethiol,2,,
853,aluminic,2,,
858,mZnO,2,,
859,WxC,2,,
860,RhB,2,,
861,pHZPC,2,,
864,Se,2,,
865,SiO21,2,,
867,SiO2H2,2,,
868,Silica,2,,
870,Sm,2,,
871,oxalate,2,,
872,SnBu4,2,,
875,Spinel,2,,
877,KOH,4,,
880,phosphate,2,,
881,S2,2,,
882,phthalocyanine,2,,
883,RuRh,2,,
884,RuCo,2,,
888,Ru2Sn2B1,2,,
890,porcelain,2,,
892,RhCl3xH2O,2,,
899,Triton,2,,
900,UCN,2,,
901,UiO66,2,,
902,Undec7ENE,2,,
903,methylene,2,,
907,V3,2,,
908,VCH4VC2,2,,
909,VCO2VCO,2,,
913,TiO2,2,,
914,TiO2Bi2WO6,2,,
915,TiO2,2,,
917,montmorillonite,2,,
920,CuO,2,,
923,TPCN,2,,
924,TMB,2,,
935,La2O3ZrO2,2,,
939,DBTL,2,,
942,LaPrNiO3,2,,
951,KMoS2,4,,
956,BiPO4,2,,
957,DBU,2,,
960,palladium chloride,2,,
966,PdKIT6,2,,
971,CuH,2,,
973,CuFe3O4,2,,
974,CuCoOx,2,,
977,Pt,2,,
981,CuCl2,2,,
982,CuH8,2,,
988,CuNO326H2O,2,,
993,CuII,2,,
994,CuMnZnO,2,,
999,MIL,2,,
1001,KH2PO4,2,,
1005,HCNS,2,,
1006,HDO,2,,
1007,Al2O3C,2,,
1008,Gold,2,,
1009,Au3,2,,
1010,AgNO3,2,,
1011,HB-PTC,2,,
1012,AuAg,2,,
1013,Ag2OTiO2Bi2WO6,2,,
1014,Aerosil,2,,
1017,AuPd,2,,
1018,Graphene,2,,
1019,AlNO33,2,,
1022,H2Ti3O7,2,,
1024,Au,2,,
1029,AlO,2,,
1040,Fe2,2,,
1042,FSiO2,2,,
1045,Bentonite,2,,
1047,BaOH2,2,,
1054,FeCl3,2,,
1056,Ferrous,2,,
1064,ImCl,2,,
1066,ACSO3H,2,,
1067,BINOL,2,,
1070,FeNO329H2O,2,,
1075,CoB,2,,
1076,CoCl26H2O,2,,
1079,CoFe2O4,2,,
1080,CoNC8,2,,
1081,CoNCN,2,,
1082,Ni220,2,,
1083,CaTiO3,2,,
1085,CNT973,2,,
1086,CNT1273,2,,
1087,CNT1123,2,,
1089,ChCl,2,,
1091,NiAl2O4,2,,
1093,NBu4PF6,2,,
1100,Chromite,2,,
1102,Ni200,2,,
1103,NaBH,2,,
1106,Na2MoO42H2O,2,,
1107,Na2HPO4,2,,
1108,CaFe2O4,2,,
1112,CZZ,2,,
1115,13C,2,,
1121,NMA,2,,
1123,CS2,2,,
1124,Ni2,2,,
1126,CN,2,,
1129,NiCo,2,,
1130,Ce2Zr15Co05O8,2,,
1131,Co,2,,
1132,246TCP,2,,
1136,NiCo,2,,
1137,Cu1800P,2,,
1141,NiC2O42H2O,2,,
1142,Cu200,2,,
1144,NiFe2O4,2,,
1145,NiLaAl,2,,
1147,MgOH2,2,,
1148,CeO2ZrO2,2,,
1149,MgNO36H2O,2,,
1151,NiCl26H2O,2,,
1152,CrVI,2,,
1154,Mo4,2,,
1156,CMgO,2,,
1160,NiMoO4,2,,
1161,NiMoS4,2,,
1163,Cs,2,,
1164,MnO,2,,
1171,methylpbenzoquinone,1,,
1173,fluorite,1,,
1174,Ce2O3,1,,
1175,BN,1,,
1176,CeAl2O3,1,,
1178,gallium,1,,
1179,naphtha,1,,
1180,CaNO34H2O,1,,
1184,CaZnO,1,,
1185,AuIII,1,,
1186,Au2Pd,1,,
1190,Calcium,1,,
1192,AuNS,1,,
1194,Pd,1,,
1195,Au1Pd,1,,
1197,Auen2Cl3,1,,
1199,Au111,1,,
1202,BF3,1,,
1203,Cd,1,,
1212,C3N4,1,,
1214,C3Im,1,,
1215,hexahydroxyplatinic,1,,
1219,hexachloroplatinicIV,1,,
1221,hereropoly,1,,
1226,iridium,1,,
1228,iodine,1,,
1232,CALA,1,,
1237,imidazole3inum,1,,
1242,CH3NSCH2,1,,
1247,Bi2O3,1,,
1251,glucose,1,,
1252,Bi2O3TiO2,1,,
1254,Ca20Fe20MgAlOx,1,,
1258,CaCl2,1,,
1259,glacial,1,,
1263,CaF2,1,,
1267,manganeseII,1,,
1275,CNT,1,,
1276,COH,1,,
1277,BiNO335H2O,1,,
1278,maleic,1,,
1279,CONO32,1,,
1280,Bi2Sn2O7,1,,
1292,Sodium tetrachloroaurate,1,,
1293,tetraethoxysilane,1,,
1308,20CuAl2O3,1,,
1318,selenium,1,,
1332,sulfides,1,,
1335,sulfoxide,1,,
1336,2PdCl4,1,,
1337,2MF,1,,
1338,sulphide,1,,
1342,AsV,1,,
1350,Al2O3,1,,
1354,Fe,1,,
1359,Ga2O3,1,,
1360,tricalcium,1,,
1363,10Cu10Co,1,,
1366,Al2O3,1,,
1370,xZnNO32,1,,
1371,15Co5Fe,1,,
1385,xNaCo,1,,
1388,vanadium,1,,
1394,xAl2O3,1,,
1396,15Fe,1,,
1398,3Azeolite,1,,
1403,CeNO34,1,,
1404,ACN13,1,,
1407,pTSA,1,,
1408,palladiumII,1,,
1411,Niobium pentachloride,1,,
1412,Vanadium pentoxide,1,,
1416,7NaCo,1,,
1422,phosphine,1,,
1426,orthosilicate,1,,
1429,Al2O3,1,,
1434,nickelalumina,1,,
1438,nitrichydrochloric,1,,
1439,nitride,1,,
1440,Al2O3La2O3,1,,
1443,Al2O3,1,,
1444,Al2MoO43,1,,
1451,AcAc,1,,
1455,phosphotungstic,1,,
1460,ptoluenesulfonic,1,,
1465,pyridine,1,,
1468,Pd,1,,
1475,rhodiumIII,1,,
1478,3Pt10Ni,1,,
1479,rutheniumIII,1,,
1480,rutheniumIV,1,,
1484,Al2O3,1,,
1488,polyalphaolefin,1,,
1489,polydimethylsiloxane,1,,
1501,porphyrin,1,,
1510,CeIV,1,,
1513,SiAl2O3,1,,
1515,RuHT,1,,
1516,RuSiRFC,1,,
1517,RuSn,1,,
1518,Ruthenium,1,,
1519,S3500,1,,
1527,LaNO336H2O,1,,
1528,LaCoO3,1,,
1530,SO3CF3,1,,
1531,LaB,1,,
1537,La2O3Al2O3,1,,
1538,Selenium,1,,
1541,RuCl3XH2O9,1,,
1542,RhMn,1,,
1543,R120,1,,
1548,Rb2CO3,1,,
1554,RhNO33,1,,
1555,RuCl3H2O,1,,
1558,MPD,1,,
1559,Ru10,1,,
1560,MMO,1,,
1561,MIL101,1,,
1563,RuCl2,1,,
1568,SiMe4,1,,
1569,TaCl5,1,,
1570,LP980,1,,
1575,K4,1,,
1581,TGPH60,1,,
1592,TTB,1,,
1593,TTIP,1,,
1596,Sulfuric,1,,
1599,SilicaAlumina,1,,
1601,SiO2Al2O3,1,,
1602,SiO2C,1,,
1603,SiO2CR,1,,
1605,SiO2PD,1,,
1606,SiO2PL,1,,
1607,SiO2TR,1,,
1608,Al2O3,1,,
1610,Khydrotalcite,1,,
1611,Katalco,1,,
1613,Silver,1,,
1614,K_MoO3,1,,
1615,SnBeta,1,,
1616,K_Mo,1,,
1617,KNbO3,1,,
1619,SnS2,1,,
1621,SrNO32,1,,
1622,SrO,1,,
1624,MesoSiO2,1,,
1625,MesoTiO2,1,,
1627,Pyridine,1,,
1631,Nb2O5xH2O,1,,
1633,NaY,1,,
1634,NaNbO3,1,,
1635,NaLS,1,,
1636,NaCo,1,,
1637,PVDF,1,,
1638,PVPK30,1,,
1641,NR50,1,,
1642,Pd48,1,,
1645,PdCe,1,,
1650,PdNO32,1,,
1651,PdNO32,1,,
1652,NH4Cl,1,,
1653,PEI,1,,
1655,Ni111,1,,
1659,NiMgAlOx,1,,
1660,NiSat,1,,
1661,NiSn,1,,
1664,NiLa,1,,
1666,NiL2,1,,
1667,NiII,1,,
1669,PBE,1,,
1670,NiCe2,1,,
1672,O3,1,,
1673,OAC,1,,
1674,NiAl_G2,1,,
1676,OMS2,1,,
1678,Ni3B,1,,
1682,PdOAC2,1,,
1683,PdOAc2,1,,
1684,PtZn,1,,
1687,PtNP,1,,
1688,PtNi,1,,
1689,PtPd,1,,
1690,Mn2O3,1,,
1691,PtRuC,1,,
1692,PtRuMo,1,,
1693,MgTiO3,1,,
1694,PtSnNi,1,,
1695,PtSnOx,1,,
1696,PtZrO2,1,,
1697,MnNO32xH2O,1,,
1698,MgNO326H2O,1,,
1699,MgNO32,1,,
1700,MgCF,1,,
1701,PtAl2O3,1,,
1704,MgAl2O4,1,,
1705,Mg30,1,,
1706,Pyridine,1,,
1707,Pyridine,1,,
1708,Pyridine,1,,
1709,PtIr,1,,
1710,PtCO,1,,
1712,MoO,1,,
1713,PdP25,1,,
1715,PdTiO2,1,,
1716,NH42PdCl4,1,,
1717,Pd,1,,
1718,PdxTiO2,1,,
1720,Perovskite,1,,
1722,Mordenite,1,,
1723,MoS2EF,1,,
1724,PrSO3H,1,,
1725,PtC,1,,
1727,MoAl,1,,
1729,MnTa2O6,1,,
1730,Pt05SnO,1,,
1731,Pt100,1,,
1732,Pt15,1,,
1733,MnO,1,,
1734,Pt3Fe,1,,
1738,Tantalum,1,,
1739,fluoride,1,,
1740,chromiumIII,1,,
1741,CuCrO3,1,,
1742,Fe5C2,1,,
1743,CuCr2O3MgO,1,,
1744,CuCr2,1,,
1756,CuAl2O3,1,,
1757,cellobiose,1,,
1758,CuAcAc2,1,,
1759,ceriazirconia,1,,
1760,Cu4Co,1,,
1761,Cu3,1,,
1762,Cu2Co,1,,
1766,caesium,1,,
1768,CuK,1,,
1769,CuOZnOAl2O3ZrO2CeO2,1,,
1776,CuAl,1,,
1781,boehmite,1,,
1783,borane,1,,
1787,CuOCeO2,1,,
1788,CuNO32,1,,
1791,CuN2O63H2O,1,,
1792,CuMOF,1,,
1793,CuMO,1,,
1794,chromium,1,,
1795,Cu111,1,,
1796,IrP2,1,,
1800,dioxane,1,,
1801,Co10Pt,1,,
1805,Cinnamyl,1,,
1807,eAuTiO2,1,,
1811,CeriumIV,1,,
1813,Ce_ZrO2,1,,
1814,CeZrOx,1,,
1815,CeZrO2,1,,
1816,CeZr,1,,
1817,CeO2ZrO2Al2O3,1,,
1818,CeO2Al2O3,1,,
1819,CeO2,1,,
1820,CeO2,1,,
1821,ferrocene,1,,
1823,Co1Mo4,1,,
1825,Co2Mo3,1,,
1826,CoPi,1,,
1828,Cr3,1,,
1829,cobaltrhodium,1,,
1832,Cr1,1,,
1833,Co,1,,
1834,copperII,1,,
1835,copperchromite,1,,
1836,copperzincalumina,1,,
1837,CoS2,1,,
1838,CoOH2TiO2,1,,
1840,CoOAC24H2O,1,,
1846,Co3O4,1,,
1851,benzaldehydes,1,,
1858,V2O3,1,,
1859,V2O4,1,,
1863,Vanadium,1,,
1869,H3PW12O40,1,,
1876,XZO,1,,
1877,H2PtOH6,1,,
1880,UiO66NH3Cl,1,,
1881,UiO66NH2,1,,
1882,UiO66COOH,1,,
1883,TiO2P25SO3H,1,,
1889,Ti4,1,,
1890,IMCs,1,,
1891,IIIA,1,,
1892,TiO2,1,,
1894,I,1,,
1895,TiO2Pt,1,,
1896,HZSM5,1,,
1897,TiSi2,1,,
1900,Hg2Cl2,1,,
1905,Halloysite,1,,
1910,Graphite,1,,
1911,Eosin,1,,
1912,Fe3O4PVDF,1,,
1913,Fe0,1,,
1924,FeCoAl2O3,1,,
1925,aluminate,1,,
1930,EDTA,1,,
1936,FeAl2O3CuK,1,,
1937,FeCuK,1,,
1938,Zn3In2S6,1,,
1940,ZnAlCe0,1,,
1941,ZnCl2,1,,
1942,ZnIn2S4,1,,
1943,Gly,1,,
1944,ZnNO326H2O,1,,
1946,ZnS,1,,
1947,Gd,1,,
1949,Zr3,1,,
1952,FeK,1,,
1953,ZrO2SO4,1,,
1954,ZrO3,1,,
1955,ZrP,1,,
1956,Feacac3,1,,
1957,FePt,1,,
1958,FeNi3,1,,
1959,FeNO339H2O,1,,
1960,FeNO33,1,,
1961,FeNO32H2O,1,,
1962,FeMFIx,1,,
1963,FeMFI,1,,
