,sentence,label
20,"Acquisition parameters for the collection of EPR data from dry photocatalysts at room temperature under an N2 atmosphere were: 5 × 100 sweep width, time =2 min, 0.35 × 1 modulation width, 5 × 100 amplitude and time constant = 0.1 and power =1 mW.",0
21,XPS data was collected using a Kratos Axis UltraDLD equipped with a hemispherical electron energy analyzer and an analysis chamber of base pressure ∼1 × 10−9 Torr.,0
22,"Cu K-edge spectra for each sample, were first collected at room temperature.",0
23,Photoluminescence measurements were performed in air at room temperature using a Perkin-Elmer LS-55 Luminescence Spectrometer.,0
24,"Four two-chamber MECs reactors made of acrylic were used; each chamber has a working volume of 400 mL and 50 mL of headspace (Cardeña et al., 2020).",0
25,The experimental strategy consisted of evaluating the performance and integrity of the PVA/CS and Nafion membranes in MECs using COD L−1 (1.0 g) acetate as the model substrate (anolyte) and sodium chloride solution as catholyte.,0
26,"The duration of the fed-batch periods was 24 h. The experiments were conducted under potentiostatic control at 30 °C, and continuously stirring with magnetic bars (175 rpm).",0
27,"Biogas composition (H2, CH4, and CO2) was analyzed using a gas chromatograph (SRI 8610C, USA) with a thermal conductivity detector and a 30 m-long (0.53 mm internal diameter) Carboxen 1010 Plot column operated at 40 °C for 4 min and then heated to 110 °C with an increment of 20 °Cmin−1.",0
28,"The DNA concentration was quantified by spectrophotometry using a NANODrop 2000c (ThermoFisher Scientific, Waltham, USA).",0
29,"For the evaluation of the hydrogen production rate (Q, mL H2 Lcat −1 d−1), the cathode working volume was used.",0
30,A standard three-electrode system under visible light and with Na2SO4 as the electrolyte (0.1 M) was used for these tests.,0
31,"The surface area was elaborated by the Brunauer–Emmett–Teller (BET) method, and the pore volume and pore diameter were gained through the Barrett–Joyher–Halenda (BJH) equation (Figure S1 and Table S1).",0
32,"After that, the TPD program was started by raising the temperature up to 600 °C under Ar flow (50 mL min−1) with a heating rate of 10 °C min−1.",0
34,"After that, the reactant gas mixture with a CO2/H2/N2 ratio of 1/3/1 (37.5 mL min−1) was introduced into the reactor, and the pressure gradually raised to 4 MPa.",0
35,"(1)–(6): (1) CO 2 conversion (\%) = n products × 100 n products + n CO 2 ,out (2) n products = n CO,out + ∑ n C i × i (3) Selectivity of CO (\%) = n CO,out × 100 n products (4) Selectivity C i (\%) = n C i × i × 100 n products (5) STY C i (g kg cat - 1 h - 1 ) = F CO 2 ,in x CO 2 conversion x selectivity C i x MW C i M cat (6) C 2 + OH/ROH = ∑ i = 2 4 m C i × 100 ∑ i = 1 4 m C i where n is the moles of total products, CO2 and CO at outlet of the reactor, and product Ci (hydrocarbon or alcohol) containing i carbon atoms, FCO2,in is molar flow rate of CO2 (expressed in mol h−1), MWCi is molecular weight of alcohols containing i carbon atoms, Mcat is the mass of the catalyst and mCi is the weight of a certain alcohol in the products.",0
39,Then the system temperature was increased to 320 °C and maintained during the reaction process.,0
41,"After cooling down to ambient temperature, the gas was switched to 10 % H2/Ar and the sample was heated to 900 °C with a heating rate of 10 °C/min, during which the H2 consumption was monitored by a thermal conductivity detector.",0
43,"Finally, the feed gas was switched to 5 % H2/Ar and the reaction was carried out from 50 °C to 900 °C with a heating rate of 10 °C/min.",0
44,"The quantum-chemical composite G3B3  were used for calculations of enthalpies H 298-values, which were finally converted to the Δ f H m o (g) and discussed.",0
46,"Consequently, higher-dimensional curve matching will be acquired, hence resulting in multivariable spline BFs in the form of : (5) B m X m : = ∏ j = 1 K m S kj m .",0
48,"In gradient boosting, a sequence of basic CATRs is produced sequentially, with the weight of every particular CART requiring tweaking via the training phase : (7) y ^ i = ∑ k = 1 N f k X i , f k ∈ f W i t h f = f ( X ) = ω q ( x ) , ( q : R m → T , ω ∈ R T ) here m, n, ω, f, fk , and T refer to the dimensions of features and samples, the weight of the leaf, space of regression trees, kth independent tree, and the count of leaves of the tree, respectively.",0
50,g w L x N + b L .,0
51,"An EOS is a thermodynamic expression that relates pressure, volume, and temperature (PVT) of a given substance.",0
54,"The formulas for these statistical parameters are presented in Appendix A. Graphic tools, which are briefly defined below, are also used to assess the performance of models: Cross plot: A cross plot allows us to see the concentration of data points around the Y = X line, which the higher the concentration of data points around this line, the better the model's performance.",0
55,"To investigate the photocatalytic activities of Ni/ZnCdS nanoparticles for hydrogen evolution from benzyl alcohol, 5 mg of ZnCdS and a certain amount of NiCl2·6H2O were added into a 50 mL round-bottom flask contained with 20 mL of absolute benzyl alcohol at the ambient temperature and pressure.",0
57,"Then, the supernatant liquid containing benzyl alcohol and its oxidation products were injected into gas chromatography (GC1690, argon as a carrier gas) equipped with a flame ionization detector (FID) using a PEG-20 M 0.25 mm × 0.25 μm × 30 m capillary column.",0
59,"Then, it was increased to 230 °C at a rate of 15 °C min−1.",0
60,Potassium was incorporated into the catalyst by physical mixing of the amorphous molybdenum sulfide precursor with K2CO3 (Sigma-Aldrich) in a mortar with a pestle followed by treatment at 500 °C in hydrogen atmosphere for 3 h with a heating rate of 5 °C/min.,0
61,"N2-physisorption was used to measure the surface area, the pore volume, the pore diameter, and the pore diameter distribution of the catalyst.",0
62,The reactor was located in an oven to keep the reaction temperature.,0
63,"The reactions were investigated under a gas hourly space velocity (GHSV) of 4500 mL g−1 h−1, a reaction pressure of 8.7 MPa, and at three temperatures of 300, 340 and 380 °C, respectively.",0
65,"In short, TiO2 was dispersed in distilled water at 60 °C, stirring rate fixed at 150 rpm and pH set at 6.8 which was maintained throughout the whole process using an aqueous solution of 0.2 M K2CO3 (Merck Art.",0
67,Catalyst suspension was continuously stirred (800 rpm) and the reactor was thermostated at 10 °C.,0
68,"Additionally, liquid phase composition was analyzed by GC-FID (Agilent Technologies 7890 chromatograph using a Supelco 25,357 Nukol capillary column 30 m long, 0.53 mm ID and 1 μm film thickness).",0
69,"Adsorption studies of propan-2-ol, propan-1-ol and reaction products on the catalyst were carried out by DRIFT on an ABB Bomen MB 3000 Series IR spectrophotometer equipped with a SpectraTech P/N 0030–100 environmental chamber including a diffuse reflectance device capable of performing 256 scan at 8 cm−1 resolution at an adjustable temperature.",0
70,"Reactor was on-line connected to a HP6890 chromatograph equipped with a six-way valve, a HP-PLOTU column (30 m long, 0.53 mm ID, 20 mm film thickness) and a Ni methanator (Agilent Part Number G2747 A) which allowed us to determine propan-2-ol, propan-1-ol, propanal, acetone and the percentage of CO2 resulting from mineralization.",0
71,4 g polyethylene oxide-polypropylene oxide-polyethylene oxide (P123) and 38 g 2.0 M HCl were mixed into 114 mL deionized water at 35 °C to produce homogeneous solution.,0
74,"For comparison, Ni2Mg1-B was synthesized without the addition of KIT-6 during the synthesis, and treated with 2 M NaOH by the same procedure as Ni2Mg1, further served as support to prepare K,Mo/Ni2Mg1-B by the same strategy, while K,Mo/Ni2Mg1-K were also prepared by the same process as K,Mo/Ni2Mg1-O except without removing KIT-6 template by alkali etching.",0
76,"The effect of Na+ was investigated by using Ni2Mg1-B as support without alkali etching to obtain K,Mo/Ni2Mg1-B2 which exhibited the similar HAS performance with K,Mo/Ni2Mg1-B.",0
77,"(3) TOF ( h - 1 ) = F × Y C 2 + O H m catal × Mo edge where F means the feeding rate of CO flow (mol h−1), mcatal represents the mass of the catalyst (g), Y C 2 + O H is HA yield, and Moedge is edge-Mo amount, which can be obtained by the following equation: (4) Mo edge = M o c o n t e n t o f s a m p l e m o l × s u l f i d a t i o n d e g r e e o f M o × f m where sulfidation degree of Mo was calculated by XPS characterization.",0
80,"After cooling to 100 °C, the adsorption process in 10%NH3/90%Ar (vol.)",0
81,"with flow of 40 mL min−1, and the desorption procedure was operated in Ar atmosphere from 100 to 800 °C with heating rate of 10 °C min−1.",0
82,"The collected samples were analyzed on a GC-FID gas chromatograph (HP, 14,009 Arcade, New York, United States) coupled with a FID detector equipped with a Supelco 2−8047-U capillary column (30 m x0.25 mm i.d.",0
83,The furfural (F) conversion and the selectivity and the yield of each hydrogenation product (P) in continuous flow experiments were calculated as the following: C o n v e r s i o n F m o l % = C F I n i t i a l - C F F i n a l C F I n i t i a l × 100 Y i e l d P m o l % = C P C F I n i t i a l × 100 S e l e c t i v i t y % = Y i e l d P C o n v e r s i o n F × 100 P r o d u c t i v i t y ( m m o l * g - 1 * h - 1 ) = C F I n i t i a l × F R × Y i e l d P m c a t .,0
85,"Nitrogen adsorption/desorption experiments at −196 °C were performed for the determination of specific surface area (multi-point BET method), total pore volume (at P/Po = 0.99), micropore area by t-plot analysis and pore size distribution (BJH method using adsorption data or DFT analysis) of the samples which were previously outgassed at 150 °C for 16 h under 5 × 10−9 Torr vacuum, using an Automatic Volumetric Sorption Analyzer (Autosorb-1MP, Quantachrome).",0
87,The reduction treatment condition was testified to be adequate to get in-reducible catalyst by H2 temperature programmed reduction (H2-TPR) measurements for hydrogenation applications.,0
88,The catalytic measurements for hydrogenation of furfural (FAL) were all performed at 120–150 °C under 1.0–5.0 MPa H2 in a 50 mL Teflon reactor with a stainless-steel autoclave heater equipped with a liquid-sampling device.,0
89,The H2O2 concentration was achieved by comparing the absorbance with the calibration curve (Fig.,0
90,"The photocurrent and Mott-Schottky plots were measured by the CHI 760D (CH Instruments, Inc., Shanghai) electrochemical workstation at room temperature.",0
91,"Solution A was introduced slowly by a peristaltic pump in a container holding 400 ml of distilled water at T =65 °C, and a constant pH = 6.5 was maintained by controlling the flow of solution B.",0
92,The textural properties of all samples were evaluated by N2 sorption measurements at −196 °C using Micromeritics ASAP 2020 Surface area and Porosity analyzer.,0
93,"Before the analysis, the degasification of the samples was carried out at 240 °C for 6 h. The BET model was fitted to isotherms between relative pressure ranges (P/P0 = 0.05-0.3) to determine the specific surface area of samples.",0
95,"All batch experiments were carried out in a 25 ml Parr reactor equipped with a heating system, pressure gauge, and overhead stirrer (Fig.",0
96,"Prior to every reaction, all Cu-based catalysts were reduced at 300 °C for 2 h. The reaction solution of FAL of desired concentration was freshly prepared in HPLC grade water, and catalytic hydrogenation of this solution was performed with continuous stirring at 700 RPM.",0
98,"The closed vessel was purged three times with nitrogen, and the pressure of H2 gas was maintained.",0
99,"After the reaction time over, the reactor was allowed to cool down at room temperature and followed by the sample preparation for product identification.",0
100,Conversion of FAL and selectivity of the product was measured using an Agilent GC equipped with an ionization detector (FID) and a DB-Wax capillary column (30 m ×0.530 mm and 1.0 micron).,0
101,Reaction products were confirmed using a Thermo scientific (Trace 1310) GC-MS equipped with a DB-5 capillary column (30 m ×0.320 mm and 1.0 micron).,0
102,"Conversion of Furfural was measured using the following equation: X F u r f u r a l % = I n i t i a l c o o n c e n t r a t i o n − f i n a l c o n c e n t r a t i o n I n i t i a l c o n c e n t r a t i o n * 100 S P r o d u c t % = X p r o d u c t m o l e s X f u r f u r a l m o l e s i n − X f u r f u r a l m o l e s o u t * 100 Where, XFurfural and SProduct (%) are the conversion of furfural and selectivity of product, respectively.",0
103,"The metal content, preparation method and final temperature during hydrogen thermal treatment were selected in order to generate a series of catalysts with different Cu+/Cu0 molar ratio.",0
104,"H2-TPR (17 cm3 min−1, 5% v/v H2/N2, 2 K min−1 to 573–773 K) was employed to determine the extent of Cu and CeO2 reduction, and the amount of surface chlorine , i.e.",0
105,"profile curve fitting (software = CasaXPS 2.3.17) serves to quantify the amount of hydrogen consumed during each transition step (α = Cu2+ → Cu+, β = Cu+ → Cu0, γ = Ce4+→ Ce3+ and δ = 2Cl*→ 2HCl; Cl* indicates adsorbed chlorine on the catalyst surface) and extract the concentration of copper species (denoted Cu TPR 2 + , Cu TPR + and Cu TPR 0 ), Ce3+ ( Ce TPR 3 + ) and adsorbed chlorine ( Cl TPR ∗ ).",0
106,The reaction temperature in the catalyst bed was monitored (continuously) with a thermocouple and kept constant (±1 K) by mixing the Cu/CeO2 catalyst (1–50 mg) with (75 µm) ground glass.,0
108,"Reactant conversion in the stand-alone reactions was varied by changing the n/F, altering the amount of catalyst while maintaining the total volume of the bed constant (884 mm3).",0
109,"Qualitative analysis for the presence of HCl was carried out by flowing the gas through a two-necked gas-scrubbing bottle containing an aqueous NaOH solution (2 × 10−3 M, pH = 8.9) kept under constant agitation at 300 rpm with independent pH (Corning 440 pH Bench-meter) analysis.",0
110,The product was dried at 150 °C overnight in a vacuum oven for next use.,0
111,"The as-prepared UiO-66, and the reused catalyst were characterized by different characterization techniques, including powder X-ray diffraction (XRD; Japan Rigaku, Cu-Kα), Fourier-transformed infrared spectroscopy (FT-IR; TENSOR 37, Germany), scanning electron microscopy (SEM; Gemini Sigma 300), thermogravimetric analysis (TGA; Shimadzu TA-60WS, in N2 at a heating rate of 10 °C min−1 up to 1000 °C), and N2 adsorption-desorption isotherm curve (Micromeritics ASAP 2020, multipoint Brunauer − Emmett − Teller (BET) model and Horvath-Kawazoe (HK) pore size distribution calculation model).",0
112,"Subsequently, the sealed autoclave was heated to a given temperature and maintained for a certain time.",0
113,"The concentrations of FF and FAL in the reaction mixture were determined with an external standard method by gas chromatograph (Shimadzu, GC-2010 plus) equipped with a hydrogen flame ion (FID) detector and a Rtx-1701 column (30 m ×0.25 mm ×0.25 μm).",0
114,"The latter option enables changing the cell’s volume and is used for synthetic method measurements, while measurements by applying the analytical method can be also performed in the view cell with constant volume i.e.",0
115,The pressure in the view cell is measured by means of a pressure transducer Omegadyne PX1004L1-5KAV that enables the measurements of pressure in the interval (0–34.5) MPa.,0
116,"The room temperature, i.e.",0
117,"The masses of the cold traps, before and after sampling, are determined using a digital balance Tehtnica Exacta 3600 EB with a standard uncertainty of ± 0.01 g. The temperature and the pressure in the view cell are collected by a data acquisition system and recorded by LabVIEW 2010 service Pack 1 that automatically saves data and enables further processing.",0
119,1 enables phase-equilibrium measurements at wide ranges of pressure and temperature.,0
121,"The sampling effect on the equilibrium state in the cell was investigated on a case study, giving an outline how to reduce disturbance of the equilibrium state by minimizing the pressure drop and associated temperature change.",0
123,"Withdrawing small samples by using capillaries from the cell with large volume can considerably reduce sampling errors, and, on the other side, all sampling steps have to be considered with great care to avoid an impact on the results’ accuracy.",0
124,"The lengths and the inner diameters of the tubes used to connect the view cell, the cold traps, the gas collector and the pressure transducer, were measured and their volumes were calculated.",0
125,This way the volume of the whole collecting system was determined.,0
126,"At this point, the desired temperature was set on the Julabo Presto LH46 thermostat and soon it was reached in the cell.",0
127,The cooling medium was chosen based on the melting temperature of the liquid component and the mixture of ice and NaCl was used in the presented research.,0
128,"Since the small amount of the mixture in the view cell was taken out, the pressure in the cell did not change significantly, so the new phase-equilibrium should be reached easily.",0
129,"The temperature of the gas component in collecting system was measured and it, together with the pressure, enables the calculation of its molar volume.",0
132,"Knowing the mass of the collected liquid, it was easy to calculate the volume of the cold trap, occupied by the liquid component.",0
133,"Since the volume of the part of collecting system filled with the gas component (free volume of cold traps, gas collector and tubing) was determined, it was possible to calculate the amount of the gas component in studied sample.",0
134,"This way, the molar portion of the gas component in the mixture, that was in the phase-equilibrium at the certain pressure and temperature, was obtained.",0
136,"Finally, the samples were collected, washed with deionized water and dried in a vacuum oven at 60 °C overnight.",0
137,"For each run, the sample was heated up to 600 °C at a rate of 10 °C/min and kept for 0.5 h in a He flow to remove adsorbed impurities.",0
138,"After the reaction, the liquid products were collected and analyzed by gas chromatograph (Agilent 7890A) equipped with flame ionization detector (FID) and DB-5HT capillary column (30.0 m × 0.32 μm × 0.25 μm).",0
139,The above mixture (molar composition: SiO2: Br: Na2O: Pd: MPTS: H2O = 1 : 0.35 : 0.2 : 0.001 : 0.0085 : 40) was continuously stirred (400 rpm) for 24 h at room temperature.,0
140,"After the reaction, toluene was added into the liquid phase as the internal standard and the isolated solution containing the product was quantitatively analyzed by gas chromatography (Agilent 7890B) using flame ionization detector and equipped with a capillary column (HP-5, 30 m × 0.25 mm × 0.25 μm).",0
141,The temperature programmed reduction (H2-TPR) was performed to evaluate the reduction temperature of catalyst.,0
142,"After that, reaction was carried out at 100 °C and 20 bar of H2 with a stirring speed of 900 rpm using a magnetic stirrer for 2 h. After reaction, the reactor was cooled down to room temperature in an ice bath and then carefully depressurized.",0
145,The electron paramagnetic resonance (EPR) spectra was recorded on JEOL EMX EPR spectrometer with operating at 77 K by using an X-band (9.65 GHZ and 0.94 m).,0
147,"After reduced in-situ at 500 °C for 1 h, the sample was cooled to 50 °C in an H2 flow.",0
148,The autoclave was heated from room temperature to 235 °C at a desired heating rate.,0
150,"The liquid products were analyzed by using gas chromatography (GC, Agilent 7890A/5975C) equipped with the flame ionization detector (FID) and a HP-5 capillary column (30 m × 0.25 mm × 0.25 μm).",0
151,"After reaction, the reactor was cooled to room temperature.",0
152,"The closed vessel was purged with N2 (3 times), heated to desired temperature (120 °C) and pressurized with H2 (1.034 MPa).",0
154,"microwave protocol: CEM Discover microwave reactor (model: 908010, USA) equipped with gas addition kit containing an in-situ fiber optic temperature controller, was loaded with 10 mL of substrate solution (0.001 M; cinnamaldehyde in DMF) and catalyst (0.05 g).",0
157,"The major products of reaction were identified and quantified by FTIR (Spectrum Two UATR two, PerkinElmer, Inc. USA) and Gas chromatograph (Clarus 580, PerkinElmer, Inc. USA), RTx column (Catalog # 12338: ID 0.25 µm, film thickness 0.5 µm and length 30 m) with FID and internal standard n-nonane respectively.",0
158,"The morphology and weight percent composition of the samples were studied by Transmission Electron Microscopy (TEM: Model JEM-1010), Scanning Electron Microscopy (SEM: Model Hitachi S-4800) and Energy Dispersive X-ray Analyzer (EDX) (model: JSM5910-JEOL, Tokyo, Japan).",0
159,This approach resulted in the H2Ti3O7 nanotubes achieving the set calcination temperature in ∼ 1–2 min.,0
160,"After calcination for a fixed time, the samples were removed from the furnace and allowed to quickly cool to room temperature.",0
161,"To prepare the 0.5 wt.% Au/xTiO2(t) and Au/P25 TiO2 photocatalysts, the titania support (2 g), Au3+ stock solution (12.5 mL), urea (5.04 g) and milli-Q water (187.5 mL) were added to a 500 ml glass Schott bottle, then heated with constant stirring at 80 °C for 8 h. The obtained pale yellow powders were collected by centrifugation, washed repeatedly with milli-Q, then air dried at 60 °C overnight.",0
163,"For the preparation of the 0.5 wt.% Pd/xTiO2(t) and Pd/P25 TiO2 photocatalysts, Pd2+ stock solution (16.78 mL), urea (5.04 g) and titania support (2 g) and milli-Q (183.22 mL) were added to a Schott bottle, then heated with constant stirring at 80 °C for 8 h. The resulting powders were collected by centrifugation, washed repeatedly with milli-Q and dried at 60 °C.",0
165,The obtained powders were then heated to 500 °C for 2 h in a H2/N2 flow (10 vol.% H2) to reduce adsorbed cationic species to the metallic form.,0
166,"A similar procedure was used for the preparation of the bimetallic Pd-Au/xTiO2(t) and Pd-Au/P25 TiO2 photocatalysts, using appropriate amounts of the Pd(II) and Au(III) stock solutions to achieve the desired nominal Pd and Au weight loadings (both 0.25 wt.%, total metal loading 0.5 wt.%).",0
167,"Reduction at 500 °C for 2 h in a H2/N2 flow was used to transform the cationic species to their metallic form (Pd° and Au°, respectively).",0
168,Photoluminescence measurements of radiative electron-hole pair recombination in the TiO2-based photocatalysts were performed in air at room temperature using a Perkin-Elmer LS-55 Luminescence Spectrometer.,0
169,"Experiments were performed in a doubled-jacketed borosilicate glass beaker (250 ml internal volume, internal diameter 7.0 cm, depth 6.5 cm) that was connected to a continuous cold water supply to maintain a constant temperature of 20 °C.",0
172,Photoluminescence measurements were then performed at room temperature using a Perkin-Elmer LS-55 Luminescence Spectrometer.,0
173,"The catalyst was first reduced for 5 h by pure H2 at 600 °C, subsequently cooled to 100 °C under H2 flow and then swept by Ar for 2 h to eliminate the residual H2.",0
174,"For the reduced samples, the reduction proceeded on the in-situ cell at 500 °C for 3 h in the flow of H2 and then transferred to the XPS chamber to avoid any exposure to air.",0
175,"Before the catalytic tests, the perovskites were transformed into active catalysts by reduction at 600 °C for 5 h under a pure H2 flow.",0
176,"When the reactor cooled to the reaction temperature, the premixed syngas was introduced to eliminate the residual H2.",0
177,The mass-flow controllers were employed to adjust the weight hourly space velocity (WHSV) of feed gas.,0
178,"(2) X co = n co , i n l e t - n co , o u t l e t n co , i n l e t × 100 % (3) S i = M i × N i ∑ M i × N i × 100 % where n co , i n l e t and n co , o u t l e t are the molarity of CO at inlet and outlet, respectively; M i and N i are the molarity of product i and the carbon number of product i, respectively.",0
180,"First, SiO2 microspheres were dispersed in deionized water to form a SiO2 suspension with SiO2/water weight ratio of 1:50, and a certain amount of Cu(NO3)2·3H2O and/or Zn(NO3)2·6H2O was added to a diluted ammonia solution (6.7 wt%) to form a dark blue transparent liquid.",0
181,"60 mL deionized water, 2 mL FFR and 0.3 g reduced catalyst were mixed in the autoclave and vigorously stirred at 800 rpm.",0
182,A BIAODE PCA-120 instrument was used to perform temperature programmed reduction in hydrogen (H2-TPR) to characterize the reduction behaviors of copper oxides in the catalysts.,0
183,The sample was heated from room temperature to 300°C and maintained for1 h and the consumed hydrogen was denoted as A. Ar gas with a flow rate of 40 mL/min was then used to flush the samples for 30 min.,0
184,An autoclave with a volume of 10 mL was used as the reactor to perform the catalytic experiments.,0
185,"After that, the reactor was heated from room temperature to the specific reaction temperature with a stirring rate of 500 rpm.",0
186,"After reaching the desired reaction temperature, the reactor was maintained at the setting temperature for specific reaction time for the reaction to take place.",0
187,"After finishing the reaction, the reactor was cooled down to room temperature and then the liquid product was centrifuged to separate the used catalysts.",0
188,"Finally, the sample was heated from 30 °C to 350 °C at a rate of 10 °C/min in 5% H2 /N2 gas with a flow of 30 mL/min and then cooled to room temperature (during which the H2 consumption is recorded as A2).",0
190,"The reactor was first filled with some H2 and heated to the predetermined temperature (80–140 °C), after which the H2 was adjusted to the final desired pressure (1.0–1.8 MPa).",0
193,"After reactions, the reactor was cooled down to room temperature in water, and the liquid products were analyzed by gas chromatography (BFRL SP-3420A, China) using a HP-5 column (30 m × 0.32 mm × 0.25 μm) and a flame ionization detector (FID).",0
195,"Catalytic activities were estimated in terms of furfural consumption rates using the formula : (2) R e a c t i o n c r a t e = F A L 0 - F A L t × V m Catalyst × t where F A L 0 and F A L t correspond to the initial concentration of furfural and that at reaction time t (h), respectively; V represents the solution volume, and m Catalyst represents the mass of the catalyst.",0
198,"2.2.2 Preparation of ZnO/NC, Co-ZnO/NC and Co/NC The as-synthesized ZIFs were placed in a tubular furnace and heated from room temperature to 900 °C at a heating rate of 5 °C/min and kept for 3 h under N2 flow.",0
200,"Before to reaction implementation, the oxide samples were transformed to metallic forms via hydrogen reduction process at 500 °C for 3 h in a tube furnace under a H2 flow rate of 100 cm3 min−1.",0
201,The Bel Sorp mini II apparatus was utilized to determine the textural properties of the calcined catalysts by a N2 sorption at −196 °C.,0
202,The XPS analyses were conducted using a KRATOS AXIS Ultra spectrometer connected to a monochromatic Al K X- α ray source.,0
203,"A gas chromatography–flame ionization detector (GC-FID) (Clarus 680, Perkin Elmer) equipped with a capillary column (DB-1HT, 30 m × 0.32 mm × 0.1 μm) was used to quantify the amount of reactant and products in liquid phase.",0
204,The mole fraction of H2 and N2 was calculated using the calibration curves of standard gases and the ideal gas law was employed to estimate the total mole of remaining H2 using the gas pressure after the reactor was cooled down to room temperature.,0
206,"After stirring for 10 min, the mixed solution was transferred into Teflon-lined stainless steel autoclave and kept at room temperature for 24 h. The solid was collected by centrifugation, washed with water and ethanol, and dried at 80 °C overnight.",0
208,The reduced catalyst is obtained by in situ treating the passivated sample at 300 °C for 2 h in a 10 vol% H2/Ar flow.,0
209,"The reactor was sequentially purged with H2 for 5 times, pressured to 5.0 MPa H2, heated into 220 °C, and kept at this temperature for 24 h. After the reaction, the reaction system was quickly cooled to room temperature in an ice-water bath.",0
211,The Barrett-Joyner-Halenda (BJH) model was used for the detection of pore volume size.,0
212,"For this procedure, 0.1 g catalyst was pre-heated at 300 °C for 1 h in a helium flow at a rate of 30 mLmin-1.",0
214,"After completion of reaction, the reaction mixture was allowed to cool at room temperature.",0
215,"The average crystallite size and the lattice strain were estimated by the Williamson-Hall method, using the equation B cos θ = (K λ/D) + (2 ε sin θ), where θ is the Bragg angle, B is the full width at half maximum (FWHM) of the XRD peak, K is the Scherrer constant, λ is the wavelength of the X-ray and ε the lattice strain .",0
216,"Textural parameters (SBET, VP and DP) were evaluated from N2 adsorption-desorption isotherms at −196 °C, determined by using an automatic ASAP 2020 system from Micromeritics.",0
217,"After the reaction, the autoclave was cooled rapidly in a water bath to room temperature.",0
218,Then the products were obtained in high purity by distillation of the filtrate under vacuum at 333 K to recover the alcohols and water.,0
219,"After 15 min, a suspension of powdery support was added and the mixture was vigorously stirred at room temperature for 1 h. Then a freshly made NaBH4 solution (NaBH4/Au = 4/1, in w/w) was slowly introduced into the mixture to yield a dark-purple colloidal solution.",0
220,"The reactant and liquid products were analyzed on an Agilent 7890A GC equipped with a FID detector and a HP-5 capillary column (Length: 30 m, I.D.",0
221,− 1 ) = n F A × M F A W c a t .,0
222,The solid sample was thoroughly dissolved by a mixed solution of HCl and HNO3 and the obtained solution was placed at room temperature overnight.,0
