,sentence,catalyst
51,"To prepare the 0.5 wt.% Au/xTiO2(t) and Au/P25 TiO2 photocatalysts, the titania support (2 g), Au3+ stock solution (12.5 mL), urea (5.04 g) and milli-Q water (187.5 mL) were added to a 500 ml glass Schott bottle, then heated with constant stirring at 80 °C for 8 h. The obtained pale yellow powders were collected by centrifugation, washed repeatedly with milli-Q, then air dried at 60 °C overnight.",Au
52,"To prepare the 0.5 wt.% Au/xTiO2(t) and Au/P25 TiO2 photocatalysts, the titania support (2 g), Au3+ stock solution (12.5 mL), urea (5.04 g) and milli-Q water (187.5 mL) were added to a 500 ml glass Schott bottle, then heated with constant stirring at 80 °C for 8 h. The obtained pale yellow powders were collected by centrifugation, washed repeatedly with milli-Q, then air dried at 60 °C overnight.",titania
53,"To prepare the 0.5 wt.% Au/xTiO2(t) and Au/P25 TiO2 photocatalysts, the titania support (2 g), Au3+ stock solution (12.5 mL), urea (5.04 g) and milli-Q water (187.5 mL) were added to a 500 ml glass Schott bottle, then heated with constant stirring at 80 °C for 8 h. The obtained pale yellow powders were collected by centrifugation, washed repeatedly with milli-Q, then air dried at 60 °C overnight.",Au
54,"For the preparation of the 0.5 wt.% Pd/xTiO2(t) and Pd/P25 TiO2 photocatalysts, Pd2+ stock solution (16.78 mL), urea (5.04 g) and titania support (2 g) and milli-Q (183.22 mL) were added to a Schott bottle, then heated with constant stirring at 80 °C for 8 h. The resulting powders were collected by centrifugation, washed repeatedly with milli-Q and dried at 60 °C.",Pd
55,"For the preparation of the 0.5 wt.% Pd/xTiO2(t) and Pd/P25 TiO2 photocatalysts, Pd2+ stock solution (16.78 mL), urea (5.04 g) and titania support (2 g) and milli-Q (183.22 mL) were added to a Schott bottle, then heated with constant stirring at 80 °C for 8 h. The resulting powders were collected by centrifugation, washed repeatedly with milli-Q and dried at 60 °C.",titania
56,"A similar procedure was used for the preparation of the bimetallic Pd-Au/xTiO2(t) and Pd-Au/P25 TiO2 photocatalysts, using appropriate amounts of the Pd(II) and Au(III) stock solutions to achieve the desired nominal Pd and Au weight loadings (both 0.25 wt.%, total metal loading 0.5 wt.%).",Au
57,"A similar procedure was used for the preparation of the bimetallic Pd-Au/xTiO2(t) and Pd-Au/P25 TiO2 photocatalysts, using appropriate amounts of the Pd(II) and Au(III) stock solutions to achieve the desired nominal Pd and Au weight loadings (both 0.25 wt.%, total metal loading 0.5 wt.%).",Au
58,"A similar procedure was used for the preparation of the bimetallic Pd-Au/xTiO2(t) and Pd-Au/P25 TiO2 photocatalysts, using appropriate amounts of the Pd(II) and Au(III) stock solutions to achieve the desired nominal Pd and Au weight loadings (both 0.25 wt.%, total metal loading 0.5 wt.%).",Au
59,"A similar procedure was used for the preparation of the bimetallic Pd-Au/xTiO2(t) and Pd-Au/P25 TiO2 photocatalysts, using appropriate amounts of the Pd(II) and Au(III) stock solutions to achieve the desired nominal Pd and Au weight loadings (both 0.25 wt.%, total metal loading 0.5 wt.%).",Pd
60,"A similar procedure was used for the preparation of the bimetallic Pd-Au/xTiO2(t) and Pd-Au/P25 TiO2 photocatalysts, using appropriate amounts of the Pd(II) and Au(III) stock solutions to achieve the desired nominal Pd and Au weight loadings (both 0.25 wt.%, total metal loading 0.5 wt.%).",Pd
61,"A similar procedure was used for the preparation of the bimetallic Pd-Au/xTiO2(t) and Pd-Au/P25 TiO2 photocatalysts, using appropriate amounts of the Pd(II) and Au(III) stock solutions to achieve the desired nominal Pd and Au weight loadings (both 0.25 wt.%, total metal loading 0.5 wt.%).",Pd
62,HRTEM microanalyses on the M/TiO2 photocatalysts were performed sing a JEOL 2200FS transmission electron microscope equipped with a Field Emission Gun and a High Resolution (HR) lens system.,TiO2
63,Photoluminescence measurements of radiative electron-hole pair recombination in the TiO2-based photocatalysts were performed in air at room temperature using a Perkin-Elmer LS-55 Luminescence Spectrometer.,TiO2
64,"The catalyst was first reduced for 5 h by pure H2 at 600 °C, subsequently cooled to 100 °C under H2 flow and then swept by Ar for 2 h to eliminate the residual H2.",Ar
65,"Before the catalytic tests, the perovskites were transformed into active catalysts by reduction at 600 °C for 5 h under a pure H2 flow.",perovskites
66,"The Cu, Zn and Cu–Zn catalysts supported on SiO2 microspheres were prepared by an in-situ synthesis (IS) method.",Cu
67,"The Cu, Zn and Cu–Zn catalysts supported on SiO2 microspheres were prepared by an in-situ synthesis (IS) method.",SiO2
68,"The Cu, Zn and Cu–Zn catalysts supported on SiO2 microspheres were prepared by an in-situ synthesis (IS) method.",Zn
69,"The Cu, Zn and Cu–Zn catalysts supported on SiO2 microspheres were prepared by an in-situ synthesis (IS) method.",Zn
70,"The Cu, Zn and Cu–Zn catalysts supported on SiO2 microspheres were prepared by an in-situ synthesis (IS) method.",Cu
71,The Cu supported catalyst on SiO2 microspheres prepared by DP uses Na2CO3 as precipitator.,Cu
72,The Cu supported catalyst on SiO2 microspheres prepared by DP uses Na2CO3 as precipitator.,Na2CO3
73,The Cu supported catalyst on SiO2 microspheres prepared by DP uses Na2CO3 as precipitator.,SiO2
74,"Five catalysts were obtained by adjusting Cu/Mg molar ratio at 0.2: 1, 0.4: 1, 0.8: 1, 1.6: 1 and 3.2: 1, which were defined as Cu0.2Mg, Cu0.4Mg, Cu0.8Mg, Cu1.6Mg and Cu3.2Mg, respectively.",Cu
75,"Five catalysts were obtained by adjusting Cu/Mg molar ratio at 0.2: 1, 0.4: 1, 0.8: 1, 1.6: 1 and 3.2: 1, which were defined as Cu0.2Mg, Cu0.4Mg, Cu0.8Mg, Cu1.6Mg and Cu3.2Mg, respectively.",Mg
76,The variation of the molar ratio of Cu and Mg was based on the consideration to change the relative abundance of the hydrogenation sites and the basic sites in the catalysts.,Cu
77,The variation of the molar ratio of Cu and Mg was based on the consideration to change the relative abundance of the hydrogenation sites and the basic sites in the catalysts.,Mg
78,"The Rigaku Ultima IV X-ray diffraction spectrometer (XRD) with Cu target (Kα-radiation source, λ = 1.5406 Å) was used to analyze the phase structure of copper-based catalysts.",copper
79,"The Rigaku Ultima IV X-ray diffraction spectrometer (XRD) with Cu target (Kα-radiation source, λ = 1.5406 Å) was used to analyze the phase structure of copper-based catalysts.",Cu
80,"After the pretreatment, the samples were cooled to 50°C, and then CO2 was introduced for further adsorption for 1 h. Next, helium with a flow rate of 20 mL/min was introduced for 30 min to remove the CO2 that was physically adsorbed on the surface of catalyst.",helium
81,"After cooling to 60°C, N2O gas (40 mL/min) was introduced to oxidize the surface Cu species to Cu2O with the duration time of 1 h. Next, the samples were heated from 60 to 300°C with a heating rate of 5°C/min and H2/Ar mixed gas was introduced simultaneously to reduce the surface Cu2O of catalysts to Cu.",Ar
82,"After cooling to 60°C, N2O gas (40 mL/min) was introduced to oxidize the surface Cu species to Cu2O with the duration time of 1 h. Next, the samples were heated from 60 to 300°C with a heating rate of 5°C/min and H2/Ar mixed gas was introduced simultaneously to reduce the surface Cu2O of catalysts to Cu.",Cu
83,"After cooling to 60°C, N2O gas (40 mL/min) was introduced to oxidize the surface Cu species to Cu2O with the duration time of 1 h. Next, the samples were heated from 60 to 300°C with a heating rate of 5°C/min and H2/Ar mixed gas was introduced simultaneously to reduce the surface Cu2O of catalysts to Cu.",Cu2O
84,"After cooling to 60°C, N2O gas (40 mL/min) was introduced to oxidize the surface Cu species to Cu2O with the duration time of 1 h. Next, the samples were heated from 60 to 300°C with a heating rate of 5°C/min and H2/Ar mixed gas was introduced simultaneously to reduce the surface Cu2O of catalysts to Cu.",Cu
85,"After cooling to 60°C, N2O gas (40 mL/min) was introduced to oxidize the surface Cu species to Cu2O with the duration time of 1 h. Next, the samples were heated from 60 to 300°C with a heating rate of 5°C/min and H2/Ar mixed gas was introduced simultaneously to reduce the surface Cu2O of catalysts to Cu.",Cu2O
86,"In addition, in order to obtain the elemental compositions of fresh copper-based catalysts, scanning electron microscope (SEM) with energy-dispersive X-ray (EDX) spectrometry (FEI QUANTA FEG 250) was carried out.",copper
87,"In a typical catalytic hydrogen transfer cascade reaction between nitrobenzene (B) and benzyl alcohol (A), the catalyst (20 mg) was added to the mixture of 1.0 mmol nitrobenzene and 3.0 mmol benzyl alcohol with 1.0 ml toluene as the solvent in a 50 ml Teflon-lined stainless autoclave reactor.",Teflon
88,The reduced catalyst is obtained by in situ treating the passivated sample at 300 °C for 2 h in a 10 vol% H2/Ar flow.,Ar
89,"For this procedure, 0.1 g catalyst was pre-heated at 300 °C for 1 h in a helium flow at a rate of 30 mLmin-1.",helium
90,The first part was to execute the aqueous-phase reforming of CH3OH and H2O using the Pt@MT-450 catalyst at the same conditions of the in-situ hydrogenation test.,Pt
91,"Supported Au nanocatalysts were prepared by immobilization of the PVP-stabilized colloidal Au nanoparticles onto the supports, i.e., Au/CuO, Au/Al2O3, and Au/Cu-Al2O3, respectively.",Al2O3
92,"Supported Au nanocatalysts were prepared by immobilization of the PVP-stabilized colloidal Au nanoparticles onto the supports, i.e., Au/CuO, Au/Al2O3, and Au/Cu-Al2O3, respectively.",Au
93,"Supported Au nanocatalysts were prepared by immobilization of the PVP-stabilized colloidal Au nanoparticles onto the supports, i.e., Au/CuO, Au/Al2O3, and Au/Cu-Al2O3, respectively.",Au
94,"Supported Au nanocatalysts were prepared by immobilization of the PVP-stabilized colloidal Au nanoparticles onto the supports, i.e., Au/CuO, Au/Al2O3, and Au/Cu-Al2O3, respectively.",Au
95,"Supported Au nanocatalysts were prepared by immobilization of the PVP-stabilized colloidal Au nanoparticles onto the supports, i.e., Au/CuO, Au/Al2O3, and Au/Cu-Al2O3, respectively.",Au
96,"Supported Au nanocatalysts were prepared by immobilization of the PVP-stabilized colloidal Au nanoparticles onto the supports, i.e., Au/CuO, Au/Al2O3, and Au/Cu-Al2O3, respectively.",Au
97,"Supported Au nanocatalysts were prepared by immobilization of the PVP-stabilized colloidal Au nanoparticles onto the supports, i.e., Au/CuO, Au/Al2O3, and Au/Cu-Al2O3, respectively.",CuO
98,All reduced catalysts were stored under Ar before further tests.,Ar
99,"The textural properties of Cu-based catalysts were analyzed by nitrogen adsorption-desorption technique (Quantachrome Instruments, Nova 2000e).",Cu
100,The phase composition of Cu species in the spinel catalyst during reduction process under hydrogen atmosphere at 300 °C for 3 h were investigated by in-situ X-ray absorption spectroscopy (in situ XAS) at Cu K-edges in Transmission mode.,Cu
101,The phase composition of Cu species in the spinel catalyst during reduction process under hydrogen atmosphere at 300 °C for 3 h were investigated by in-situ X-ray absorption spectroscopy (in situ XAS) at Cu K-edges in Transmission mode.,Cu
102,The Cu-based catalysts were tested for furfural hydrogenation reaction in a stainless-steel autoclave with a magnetic stirrer.,Cu
103,"Furthermore, the M13 cluster and supported M13 cluster on support such as γ-Al2O3 were broadly applied to study catalytic reaction and catalysts properties, for example NO oxidation, CO oxidation, H2 dissociation, ammonia dissociation and stability of clusters on support .",NO
104,"Commercial Pd supported on Carbon Vulcan XC-72 (20 wt% Pd/C, Alfa Aesar) and commercial Pt on Carbon black (20 wt% Pt/C; Alfa Aesar) were used as the cathodic and anodic catalysts, respectively.",Pd
105,"Commercial Pd supported on Carbon Vulcan XC-72 (20 wt% Pd/C, Alfa Aesar) and commercial Pt on Carbon black (20 wt% Pt/C; Alfa Aesar) were used as the cathodic and anodic catalysts, respectively.",Pt
106,"Typically, in a scale-up experiment, FAL (60 mmol), 2-PrOH (150 mL), and catalyst (1 g) were charged into the autoclave, then sealed and heated to 180 °C for 1−8 h. Identification of liquid products in the reaction mixture was achieved by the TRACE ISQ GC–MS (Thermo Scientific Co, TR–WAX–MS column 30.0 m × 320 μm × 0.25 μm).",Co
107,The Pt/TiO2 (0.7 wt% Pt) and Pt-Co/TiO2 (0.7 wt% Pt and 0–0.4 wt% Co) catalysts were prepared by FSP method according to the procedure described in Ref.,Co
108,The Pt/TiO2 (0.7 wt% Pt) and Pt-Co/TiO2 (0.7 wt% Pt and 0–0.4 wt% Co) catalysts were prepared by FSP method according to the procedure described in Ref.,Pt
109,The Pt/TiO2 (0.7 wt% Pt) and Pt-Co/TiO2 (0.7 wt% Pt and 0–0.4 wt% Co) catalysts were prepared by FSP method according to the procedure described in Ref.,TiO2
110,The Pt/TiO2 (0.7 wt% Pt) and Pt-Co/TiO2 (0.7 wt% Pt and 0–0.4 wt% Co) catalysts were prepared by FSP method according to the procedure described in Ref.,Pt
111,The Pt/TiO2 (0.7 wt% Pt) and Pt-Co/TiO2 (0.7 wt% Pt and 0–0.4 wt% Co) catalysts were prepared by FSP method according to the procedure described in Ref.,Pt
112,The Pt/TiO2 (0.7 wt% Pt) and Pt-Co/TiO2 (0.7 wt% Pt and 0–0.4 wt% Co) catalysts were prepared by FSP method according to the procedure described in Ref.,Pt
113,The Pt/TiO2 (0.7 wt% Pt) and Pt-Co/TiO2 (0.7 wt% Pt and 0–0.4 wt% Co) catalysts were prepared by FSP method according to the procedure described in Ref.,TiO2
114,The Pt/TiO2 (0.7 wt% Pt) and Pt-Co/TiO2 (0.7 wt% Pt and 0–0.4 wt% Co) catalysts were prepared by FSP method according to the procedure described in Ref.,Co
115,"Co(NO3)2⋅6H2O (98%) from Alfa Aesar, RuCl3⋅xH2O (>38% on Ru basis) from Innochem, and NaBH4 (98%) from Acros Organics were used for catalyst preparation.",NaBH4
116,"Co(NO3)2⋅6H2O (98%) from Alfa Aesar, RuCl3⋅xH2O (>38% on Ru basis) from Innochem, and NaBH4 (98%) from Acros Organics were used for catalyst preparation.",Ru
117,"Finally, the magnetic RuCo catalyst was obtained by reduction of the Ru X Co100 composite in H2 flow (20 mL min−1) typically at 350 °C (5 °C min−1) for 0.5 h (Scheme 2).",RuCo
118,"Finally, the magnetic RuCo catalyst was obtained by reduction of the Ru X Co100 composite in H2 flow (20 mL min−1) typically at 350 °C (5 °C min−1) for 0.5 h (Scheme 2).",Ru
119,"The powder X-ray diffraction technique was used for the characteristics of the crystalline structure of catalysts, with a PANalytical X'Pert Pro MPD X-ray diffractometer using Cu Kα irradiation.",Cu
120,Additional reactions following a gas phase reduction of the Pt/SnO2 catalyst under a flow of H2 at 200 °C and 400 °C were performed.,SnO2
121,Additional reactions following a gas phase reduction of the Pt/SnO2 catalyst under a flow of H2 at 200 °C and 400 °C were performed.,Pt
122,"The electrochemical catalyst used consisted of a continuous, thin Pt film supported on an alkaline solid electrolyte (K-βAl2O3, K+ conductor), as the one used in a previous study .",Pt
123,"Palladium supported on activated carbon catalyst (5.0wt% Pd/C, wetted with ca.",Palladium
