Title,Pub_name,DOI,Link
From selective transfer hydrogenation to selective hydrogen auto-transfer process: An efficient method for the synthesis of alkenyl ketones <ce:italic>via</ce:italic> iridium-catalyzed <ce:italic>α</ce:italic>-alkylation of ketones with alkenyl alcohols,Journal of Catalysis,10.1016/j.jcat.2021.08.038,https://api.elsevier.com/content/article/doi/10.1016/j.jcat.2021.08.038?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Enhanced CO<ce:inf loc=post>2</ce:inf> hydrogenation to higher alcohols over K-Co promoted In<ce:inf loc=post>2</ce:inf>O<ce:inf loc=post>3</ce:inf> catalysts,Chemical Engineering Journal,10.1016/j.cej.2021.133211,https://api.elsevier.com/content/article/doi/10.1016/j.cej.2021.133211?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Synthesis of mixed alcohols with enhanced C3+ alcohol production by CO hydrogenation over potassium promoted molybdenum sulfide,Applied Catalysis B: Environmental,10.1016/j.apcatb.2019.01.063,https://api.elsevier.com/content/article/doi/10.1016/j.apcatb.2019.01.063?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Electrochemical hydrogen production from biomass,Current Opinion in Electrochemistry,10.1016/j.coelec.2021.100841,https://api.elsevier.com/content/article/doi/10.1016/j.coelec.2021.100841?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Sustainable hydrogen storage: Thermochemistry of amino-alcohols as seminal liquid organic hydrogen carriers,The Journal of Chemical Thermodynamics,10.1016/j.jct.2021.106591,https://api.elsevier.com/content/article/doi/10.1016/j.jct.2021.106591?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Photocatalytic production of hydrogen from binary mixtures of C-3 alcohols on Pt/TiO<ce:inf loc=post>2</ce:inf>: Influence of alcohol structure,Catalysis Today,10.1016/j.cattod.2018.10.001,https://api.elsevier.com/content/article/doi/10.1016/j.cattod.2018.10.001?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Efficient hydrogen production by selective alcohol photoreforming on plasmonic photocatalyst comprising sandwiched Au nanodisks and TiO<ce:inf loc=post>2</ce:inf>,Applied Catalysis B: Environmental,10.1016/j.apcatb.2019.117773,https://api.elsevier.com/content/article/doi/10.1016/j.apcatb.2019.117773?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Highly selective production of long-chain aldehydes, ketones or alcohols via syngas at a mild condition",Applied Catalysis B: Environmental,10.1016/j.apcatb.2022.121155,https://api.elsevier.com/content/article/doi/10.1016/j.apcatb.2022.121155?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Modeling hydrogen solubility in alcohols using machine learning models and equations of state,Journal of Molecular Liquids,10.1016/j.molliq.2021.117807,https://api.elsevier.com/content/article/doi/10.1016/j.molliq.2021.117807?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
State of art of valorising of diverse potential feedstocks for the production of alcohols and ethers: Current changes and perspectives,Chemosphere,10.1016/j.chemosphere.2021.131587,https://api.elsevier.com/content/article/doi/10.1016/j.chemosphere.2021.131587?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Paving the way to the sustainable hydrogen storage: Thermochemistry of amino-alcohols as precursors for liquid organic hydrogen carriers,The Journal of Chemical Thermodynamics,10.1016/j.jct.2021.106610,https://api.elsevier.com/content/article/doi/10.1016/j.jct.2021.106610?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Hydrogen production <ce:italic>via</ce:italic> anaerobic digestion of coal modified by white-rot fungi and its application benefits analysis,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2022.112091,https://api.elsevier.com/content/article/doi/10.1016/j.rser.2022.112091?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
A review on biomass based hydrogen production technologies,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2021.10.124,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2021.10.124?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Advances in higher alcohol synthesis from CO<ce:inf loc=post>2</ce:inf> hydrogenation,Chem,10.1016/j.chempr.2020.10.019,https://api.elsevier.com/content/article/doi/10.1016/j.chempr.2020.10.019?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Transfer hydrogenation of furfural to furfuryl alcohol over modified Zr-based catalysts using primary alcohols as H-donors,Molecular Catalysis,10.1016/j.mcat.2020.111199,https://api.elsevier.com/content/article/doi/10.1016/j.mcat.2020.111199?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Trace water triggers high-efficiency photocatalytic hydrogen peroxide production,Journal of Energy Chemistry,10.1016/j.jechem.2021.03.055,https://api.elsevier.com/content/article/doi/10.1016/j.jechem.2021.03.055?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Catalytic hydrogenation of furfural to furfuryl alcohol over chromium-free catalyst: Enhanced selectivity in the presence of solvent,Molecular Catalysis,10.1016/j.mcat.2020.111339,https://api.elsevier.com/content/article/doi/10.1016/j.mcat.2020.111339?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Hydrogen generation by alcohol reforming in a tandem cell consisting of a coupled fuel cell and electrolyser,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2020.01.123,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2020.01.123?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Catalysts design for higher alcohols synthesis by CO<ce:inf loc=post>2</ce:inf> hydrogenation: Trends and future perspectives,Applied Catalysis B: Environmental,10.1016/j.apcatb.2021.120073,https://api.elsevier.com/content/article/doi/10.1016/j.apcatb.2021.120073?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Ordered mesoporous NiMg bimetal oxides confined KMoS catalyst for selective CO hydrogenation into higher alcohols,Fuel,10.1016/j.fuel.2021.121321,https://api.elsevier.com/content/article/doi/10.1016/j.fuel.2021.121321?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Unrevealing the hidden link between sustainable alkylation and hydrogen transfer processes with alcohols,Current Opinion in Green and Sustainable Chemistry,10.1016/j.cogsc.2021.100449,https://api.elsevier.com/content/article/doi/10.1016/j.cogsc.2021.100449?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Unique capability of NdPO<ce:inf loc=post>4</ce:inf> to activate hydrogen for efficient hydrogenation of furfural to furfuryl alcohol over Nd-Co-P composites,Journal of Rare Earths,10.1016/j.jre.2021.09.021,https://api.elsevier.com/content/article/doi/10.1016/j.jre.2021.09.021?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Phenylacetylene hydrogenation coupled with benzyl alcohol dehydrogenation over Cu/CeO<ce:inf loc=post>2</ce:inf>: A consideration of Cu oxidation state,Journal of Catalysis,10.1016/j.jcat.2020.11.002,https://api.elsevier.com/content/article/doi/10.1016/j.jcat.2020.11.002?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Techno-economic analysis of alternative processes for alcohol-assisted methanol synthesis from carbon dioxide and hydrogen,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2020.01.230,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2020.01.230?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Pt nanoclusters embedded Fe-based metal-organic framework as a dual-functional electrocatalyst for hydrogen evolution and alcohols oxidation,Journal of Colloid and Interface Science,10.1016/j.jcis.2022.02.073,https://api.elsevier.com/content/article/doi/10.1016/j.jcis.2022.02.073?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Highly efficient catalytic transfer hydrogenation of biomass-derived furfural to furfuryl alcohol using UiO-66 without metal catalysts,Applied Catalysis A: General,10.1016/j.apcata.2020.117719,https://api.elsevier.com/content/article/doi/10.1016/j.apcata.2020.117719?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Hydrogen solubility in bio-based furfural and furfuryl alcohol at elevated temperatures and pressures relevant for hydrodeoxygenation,Fuel,10.1016/j.fuel.2020.120021,https://api.elsevier.com/content/article/doi/10.1016/j.fuel.2020.120021?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Boron doped magnetic catalysts for selective transfer hydrogenation of furfural into furfuryl alcohol,Chemical Engineering Science,10.1016/j.ces.2020.116075,https://api.elsevier.com/content/article/doi/10.1016/j.ces.2020.116075?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Selective hydrogenation of furfural to furfuryl alcohol over Pd/TiH<ce:inf loc=post>2</ce:inf> catalyst,Molecular Catalysis,10.1016/j.mcat.2021.111599,https://api.elsevier.com/content/article/doi/10.1016/j.mcat.2021.111599?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Functional group hydrogenation of cinnamaldehyde to hydrocinnamyl alcohol over nickel-ruthenium containing hydrotalcite,Materials Today: Proceedings,10.1016/j.matpr.2021.03.244,https://api.elsevier.com/content/article/doi/10.1016/j.matpr.2021.03.244?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Development of bimetallic Ni-Cu/SiO<ce:inf loc=post>2</ce:inf> catalysts for liquid phase selective hydrogenation of furfural to furfuryl alcohol,Catalysis Communications,10.1016/j.catcom.2020.106221,https://api.elsevier.com/content/article/doi/10.1016/j.catcom.2020.106221?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Excellent dispersion of solar light responsive photocatalyst in the different polymer films for easy recycling and sustainable hydrogen production,Solar Energy,10.1016/j.solener.2021.12.041,https://api.elsevier.com/content/article/doi/10.1016/j.solener.2021.12.041?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Aqueous phase hydrogenation of furfural to tetrahydrofurfuryl alcohol over Pd/UiO-66,Catalysis Communications,10.1016/j.catcom.2020.106178,https://api.elsevier.com/content/article/doi/10.1016/j.catcom.2020.106178?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Palladium confined in pure-silica TON zeolite for furfuryl alcohol hydrogenation into tetrahydrofurfuryl alcohol,Microporous and Mesoporous Materials,10.1016/j.micromeso.2021.111161,https://api.elsevier.com/content/article/doi/10.1016/j.micromeso.2021.111161?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Alcohol Production from Carbon Dioxide: Methanol as a Fuel and Chemical Feedstock,Joule,10.1016/j.joule.2020.11.005,https://api.elsevier.com/content/article/doi/10.1016/j.joule.2020.11.005?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Hydrogen production from alcohol solution by microwave discharge in liquid,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2016.03.110,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2016.03.110?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Surface functionalized Pt/SnNb<ce:inf loc=post>2</ce:inf>O<ce:inf loc=post>6</ce:inf> nanosheets for visible-light-driven the precise hydrogenation of furfural to furfuryl alcohol,Journal of Energy Chemistry,10.1016/j.jechem.2021.09.003,https://api.elsevier.com/content/article/doi/10.1016/j.jechem.2021.09.003?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Heterogeneous Ni and MoO<ce:inf loc=post>x</ce:inf> co-loaded CeO<ce:inf loc=post>2</ce:inf> catalyst for the hydrogenation of fatty acids to fatty alcohols under mild reaction conditions,Fuel,10.1016/j.fuel.2021.120829,https://api.elsevier.com/content/article/doi/10.1016/j.fuel.2021.120829?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Effective use of photogenerated electrons and holes in a system: Photocatalytic selective oxidation of aromatic alcohols to aldehydes and hydrogen production,Journal of Catalysis,10.1016/j.jcat.2018.09.003,https://api.elsevier.com/content/article/doi/10.1016/j.jcat.2018.09.003?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Highly reactive anatase nanorod photocatalysts synthesized by calcination of hydrogen titanate nanotubes: Effect of calcination conditions on photocatalytic performance for aqueous dye degradation and H<ce:inf loc=post>2</ce:inf> production in alcohol-water mixtures,Applied Catalysis A: General,10.1016/j.apcata.2018.08.004,https://api.elsevier.com/content/article/doi/10.1016/j.apcata.2018.08.004?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Theoretical insights into furfural reduction to furfuryl alcohol via the catalytic hydrogen transfer reaction catalyzed by cations exchanged zirconium-containing zeolites,Molecular Catalysis,10.1016/j.mcat.2021.111471,https://api.elsevier.com/content/article/doi/10.1016/j.mcat.2021.111471?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Synthesis of higher alcohols by CO hydrogenation over catalysts derived from LaCo<ce:inf loc=post>1-x</ce:inf>Mn<ce:inf loc=post>x</ce:inf>O<ce:inf loc=post>3</ce:inf> perovskites: Effect of the partial substitution of Co by Mn,Fuel,10.1016/j.fuel.2019.116415,https://api.elsevier.com/content/article/doi/10.1016/j.fuel.2019.116415?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Selective hydrogenation of cinnamaldehyde to cinnamyl alcohol over palladium/zirconia in microwave protocol,Catalysis Today,10.1016/j.cattod.2021.08.010,https://api.elsevier.com/content/article/doi/10.1016/j.cattod.2021.08.010?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Is mass-scale electrocatalysis of aqueous methanol an energetically and economically viable option for hydrogen production?,Journal of Industrial and Engineering Chemistry,10.1016/j.jiec.2021.09.028,https://api.elsevier.com/content/article/doi/10.1016/j.jiec.2021.09.028?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Aqueous phase catalytic hydrogenation of furfural to furfuryl alcohol over in-situ synthesized Cu–Zn/SiO<ce:inf loc=post>2</ce:inf> catalysts,Materials Chemistry and Physics,10.1016/j.matchemphys.2020.124152,https://api.elsevier.com/content/article/doi/10.1016/j.matchemphys.2020.124152?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Hydrogen-free hydrogenation of furfural to furfuryl alcohol and 2-methylfuran over Ni and Co-promoted Cu/γ-Al<ce:inf loc=post>2</ce:inf>O<ce:inf loc=post>3</ce:inf> catalysts,Fuel Processing Technology,10.1016/j.fuproc.2020.106721,https://api.elsevier.com/content/article/doi/10.1016/j.fuproc.2020.106721?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
